X,patient_id,source,target,ligand,receptor,cellchat_prob,cellphonedb_lr.mean,connectome_weight_sc,logfc_logfc_comb,natmi_prod_weight,sca_LRscore
28,A26 (386C),B-mem_A26,T-CD8_A26,HLA-E,KLRC1,0.565965,0.4199,0.312394,1.3217,0.331997,0.718009
29,A26 (386C),B-mem_A26,Mac_A26,HLA-E,KLRC1,0.681439,0.630728,0.52386,1.4666,0.347403,0.589411
30,A26 (386C),B-mem_A26,Mac_A26,IL6,IL6R,0.551638,0.625996,0.001,1.2419,0.055879,0.238485
31,A26 (386C),B-mem_A26,Mac_A26,CDH1,ITGB1,0.340118,0.445553,0.124863,0.2687,0.143515,0.492148
32,A26 (386C),B-mem_A26,Mac_A26,JAG1,NOTCH2,0.217043,0.229912,0.203774,0.9108,0.107519,0.174872
33,A26 (386C),B-mem_A26,Mac_A26,SPP1,CD44,0.837067,0.52734,0.556909,1.3326,0.282649,0.614607
34,A26 (386C),B-mem_A26,Mac_A26,MDK,LRP1,0.346843,0.710457,0.464853,1.5741,0.392962,0.712705
35,A26 (386C),B-mem_A26,Mac_A26,LGALS9,MRC1,0.484874,1.0,0.29187,1.2089,0.505483,0.613253
36,A26 (386C),DC_A26,T-CD4_A26,MIF,CD74,0.668949,0.977699,0.367114,1.8397,0.311363,0.517833
37,A26 (386C),DC_A26,T-CD4_A26,AREG,EGFR,0.441913,0.633797,0.130112,1.3625,0.349989,0.577547
38,A26 (386C),DC_A26,T-CD4_A26,LTB,LTBR,0.412924,0.872951,0.596024,1.3153,0.274237,0.531711
39,A26 (386C),DC_A26,T-CD4_A26,CCL5,CCR1,0.509537,0.463809,0.374969,1.3245,0.509468,0.838695
40,A26 (386C),DC_A26,T-CD4_A26,DLL1,NOTCH1,0.435104,0.241763,0.290391,0.2442,0.206196,0.433747
41,A26 (386C),DC_A26,T-CD4_A26,HLA-E,KLRC1,0.405039,1.0,0.458085,0.5389,0.380286,0.568518
42,A26 (386C),DC_A26,T-CD4_A26,IGF1,IGF1R,0.280206,0.536441,0.256864,-0.1157,0.059168,0.504525
43,A26 (386C),Plasma_A26,NK_A26,MDK,LRP1,0.76204,0.843337,0.25306,2.104,0.389397,0.27177
44,A26 (386C),Plasma_A26,NK_A26,CSF1,CSF1R,0.56402,0.597215,0.403355,1.1139,0.462349,0.365343
45,A26 (386C),Plasma_A26,NK_A26,CXCL12,CXCR4,0.567611,1.0,0.290765,1.3843,0.3452,0.51206
46,A26 (386C),Plasma_A26,NK_A26,PDGFB,PDGFRB,0.377184,0.444263,0.096748,1.4048,0.254161,0.316579
47,A26 (386C),Mac_A26,Plasma_A26,FGF2,FGFR1,0.001,0.072479,0.36704,0.8283,0.075607,0.639805
48,A26 (386C),Mac_A26,Plasma_A26,TNF,TNFRSF1A,0.001,0.700244,0.402266,1.2697,0.186079,0.406046
49,A26 (386C),Mac_A26,Plasma_A26,APP,CD74,0.352752,0.898431,0.453574,0.7285,0.477068,0.530165
50,A26 (386C),Mac_A26,Plasma_A26,CCL3,CCR1,0.572062,1.0,0.646399,1.0156,0.219451,0.443739
51,A26 (386C),Mac_A26,Plasma_A26,IGF1,IGF1R,0.508172,0.798501,0.032247,0.6735,0.103802,0.624408
52,A26 (386C),Mac_A26,Plasma_A26,CCL5,CCR1,0.427764,0.725295,0.330313,0.9639,0.324275,0.526334
53,A26 (386C),Mac_A26,Plasma_A26,FAM3C,HLA-C,0.38109,0.672642,0.441286,1.0056,0.368459,0.990143
54,A26 (386C),Endo_A26,Mono_A26,IL6,IL6R,0.001,0.510191,0.230869,0.4662,0.278693,0.472288
55,A26 (386C),Endo_A26,Mono_A26,WNT5A,FZD1,0.189057,0.252496,0.293418,0.0936,0.141738,0.223791
56,A26 (386C),Endo_A26,Mono_A26,IGF1,IGF1R,0.290482,0.472782,0.214415,1.1539,0.197806,0.287002
57,A26 (386C),Endo_A26,Mono_A26,JAG1,NOTCH2,0.098372,0.600462,0.273378,1.2803,0.100255,0.355284
58,A26 (386C),Endo_A26,Mono_A26,TNF,TNFRSF1A,0.271196,0.398097,0.211247,0.0142,0.257499,0.480641
59,A26 (386C),Endo_A26,Mono_A26,LTB,LTBR,0.689571,1.0,0.351724,1.2855,0.325978,1.0
60,A26 (386C),Endo_A26,Mono_A26,LGALS9,MRC1,0.260317,0.901442,0.2135,0.2674,0.122917,0.373646
61,A26 (386C),Mast_A26,T-gamma/delta_A26,JAG1,NOTCH2,0.165276,0.450685,0.212965,1.2699,0.187041,0.108433
62,A26 (386C),Mast_A26,T-gamma/delta_A26,HGF,MET,0.19595,0.276804,0.297005,0.8535,0.163061,0.523921
63,A26 (386C),Mast_A26,T-gamma/delta_A26,IGF1,IGF1R,0.200726,0.385942,0.231691,1.3113,0.165147,0.27984
64,A26 (386C),Mast_A26,T-gamma/delta_A26,CSF1,CSF1R,0.363124,0.951513,0.319483,1.4375,0.134839,0.858637
65,A26 (386C),Mast_A26,T-gamma/delta_A26,VEGFA,KDR,0.080209,0.225664,0.33703,0.1662,0.167054,0.364851
66,A26 (386C),Mast_A26,T-gamma/delta_A26,EFNA1,EPHA2,0.130216,0.755733,0.389853,-0.0886,0.030101,0.511646
67,A26 (386C),ILC3_A26,Mast_A26,GRN,SORT1,0.349188,1.0,0.447375,0.6871,0.445895,0.271663
68,A26 (386C),ILC3_A26,Mast_A26,DLL1,NOTCH1,0.46404,0.382663,0.343963,0.4044,0.153232,0.278452
69,A26 (386C),ILC3_A26,Mast_A26,CDH1,ITGB1,0.008577,0.637706,0.248746,0.9824,0.123558,0.544751
70,A26 (386C),ILC3_A26,Mast_A26,TNFSF13B,HLA-DPB1,0.35872,1.0,0.337914,2.2676,0.157783,0.829598
71,A26 (386C),ILC3_A26,Mast_A26,LILRB4,LAIR1,0.274913,0.857106,0.669952,1.6168,0.33108,0.724425
72,A26 (386C),ILC3_A26,Mast_A26,MDK,LRP1,0.561462,0.760996,0.478736,1.3584,0.399104,0.413943
73,A26 (386C),ILC3_A26,Mast_A26,MIF,CD74,0.532219,1.0,0.609448,1.9399,0.249903,0.683539
74,A26 (386C),Mac_A26,ILC3_A26,CSF1,CSF1R,0.697157,0.638531,0.487503,1.088,0.387046,0.60219
75,A26 (386C),Mac_A26,ILC3_A26,CCL3,CCR1,0.28337,0.522362,0.398331,1.9177,0.276644,0.937877
76,A26 (386C),Mac_A26,ILC3_A26,AREG,EGFR,0.611464,0.360947,0.358187,1.2534,0.180911,0.589858
77,A26 (386C),Mac_A26,ILC3_A26,LTB,LTBR,0.71661,0.931581,0.514868,1.3332,0.218589,0.663119
78,A26 (386C),Mac_A26,ILC3_A26,APP,CD74,0.315122,1.0,0.323048,1.3577,0.379367,0.867224
79,A26 (386C),T-gamma/delta_A26,Endo_A26,CDH1,ITGB1,0.230592,0.588614,0.298973,0.5708,0.016272,0.451382
80,A26 (386C),T-gamma/delta_A26,Endo_A26,BMP4,BMPR1A,0.078308,0.262206,0.137612,1.1,0.122494,0.556051
81,A26 (386C),T-gamma/delta_A26,Endo_A26,WNT5A,FZD1,0.20902,0.572857,0.18006,1.2293,0.267925,0.175711
82,A26 (386C),T-gamma/delta_A26,Endo_A26,HGF,MET,0.182854,0.403023,0.216653,1.1079,0.105268,0.299615
83,A26 (386C),T-gamma/delta_A26,Endo_A26,TNFSF13B,HLA-DPB1,0.28604,0.839017,0.368795,1.3239,0.297068,0.845791
84,A26 (386C),T-CD8_A26,Stromal-Intestine_A26,AREG,EGFR,0.238773,1.0,0.283809,1.184,0.243011,0.699045
85,A26 (386C),T-CD8_A26,Stromal-Intestine_A26,VEGFA,KDR,0.309247,0.816635,0.130828,1.3041,0.320849,0.256997
86,A26 (386C),T-CD8_A26,Stromal-Intestine_A26,BMP4,BMPR1A,0.368239,0.802214,0.183457,1.2265,0.183639,0.080992
87,A26 (386C),T-CD8_A26,Stromal-Intestine_A26,EFNA1,EPHA2,0.561494,0.36226,0.177469,1.0626,0.12439,0.647052
88,A26 (386C),Epi-Intestine_A26,ILC3_A26,TNFSF13B,HLA-DPB1,0.494715,0.657124,0.484462,0.9581,0.41605,0.462605
89,A26 (386C),Epi-Intestine_A26,ILC3_A26,COPA,CD74,0.361333,0.831485,0.405622,1.419,0.431254,0.567501
90,A26 (386C),Epi-Intestine_A26,ILC3_A26,HLA-E,KLRC1,0.586449,0.552546,0.5411,1.553,0.378652,0.687576
91,A26 (386C),Epi-Intestine_A26,ILC3_A26,SPP1,CD44,0.40216,0.698157,0.450214,1.2923,0.337374,0.378036
92,A26 (386C),Epi-Intestine_A26,T-CD4_A26,GRN,SORT1,0.810639,0.195709,0.332999,1.8238,0.198271,0.441309
93,A26 (386C),Epi-Intestine_A26,T-CD4_A26,EFNA1,EPHA2,0.376879,0.36482,0.25276,1.2704,0.209071,0.453109
94,A26 (386C),Epi-Intestine_A26,T-CD4_A26,EGF,EGFR,0.289782,0.428315,0.056646,0.8643,0.156398,0.49028
95,A26 (386C),Epi-Intestine_A26,T-CD4_A26,IGF1,IGF1R,0.217555,0.044612,0.034583,0.8737,0.331345,0.187972
96,A26 (386C),Epi-Intestine_A26,T-CD4_A26,WNT5A,FZD1,0.124007,0.159822,0.325463,0.5296,0.036189,0.27017
97,A26 (386C),Epi-Intestine_A26,T-CD4_A26,CDH1,ITGB1,0.515583,0.165291,0.27513,0.8045,0.116122,0.660973
98,A26 (386C),Epi-Intestine_A26,T-CD4_A26,C3,C3AR1,0.40773,0.693085,0.520155,1.7303,0.250726,0.195405
99,A26 (386C),Mac_A26,T-gamma/delta_A26,CDH1,ITGB1,0.159564,0.511348,0.209879,0.8751,0.35972,0.259858
100,A26 (386C),Mac_A26,T-gamma/delta_A26,DLL1,NOTCH1,0.001,0.140769,0.389246,0.6984,0.171496,0.406885
101,A26 (386C),Mac_A26,T-gamma/delta_A26,IGF1,IGF1R,0.286661,0.1383,0.055039,-0.0253,0.230369,0.591161
102,A26 (386C),Mac_A26,T-gamma/delta_A26,FAM3C,HLA-C,0.404419,0.562093,0.483236,1.5007,0.250553,0.907985
103,A26 (386C),Mac_A26,T-gamma/delta_A26,AREG,EGFR,0.604058,0.605655,0.355706,0.9906,0.497525,0.526248
104,A26 (386C),Mac_A26,T-gamma/delta_A26,APP,CD74,0.362893,0.694746,0.348179,1.6248,0.424985,0.612094
105,A26 (386C),Mac_A26,T-gamma/delta_A26,JAG1,NOTCH2,0.001,0.351828,0.127724,0.2816,0.119883,0.416841
106,A26 (386C),B-naive_A26,Mast_A26,DLL1,NOTCH1,0.001,0.24561,0.038106,0.9347,0.369416,0.721751
107,A26 (386C),B-naive_A26,Mast_A26,IGF1,IGF1R,0.194019,0.303151,0.292654,1.1245,0.133126,0.321473
108,A26 (386C),B-naive_A26,Mast_A26,HLA-E,KLRC1,0.851039,0.753137,0.331761,1.348,0.38297,0.445672
109,A26 (386C),B-naive_A26,Mast_A26,LILRB4,LAIR1,0.48274,0.48841,0.356608,2.0508,0.399172,0.631491
110,A26 (386C),B-naive_A26,Mast_A26,TNFSF13B,HLA-DPB1,0.380033,0.702148,0.516088,1.0753,0.470042,0.375273
111,A26 (386C),B-mem_A26,B-naive_A26,PDGFB,PDGFRB,0.25412,0.626073,0.001,-0.0671,0.118398,0.357379
112,A26 (386C),B-mem_A26,B-naive_A26,TNF,TNFRSF1A,0.146017,0.364783,0.067659,0.5395,0.090323,0.398804
113,A26 (386C),B-mem_A26,B-naive_A26,JAG1,NOTCH2,0.367213,0.778233,0.13123,0.5728,0.179775,0.291016
114,A26 (386C),B-mem_A26,B-naive_A26,TNFSF13B,HLA-DPB1,0.512201,0.389455,0.434611,0.9339,0.229304,0.332375
115,A26 (386C),B-mem_A26,B-naive_A26,MIF,CD74,0.69415,0.744848,0.527939,1.4089,0.154664,0.433261
116,A26 (386C),ILC3_A26,B-naive_A26,LTB,LTBR,0.335301,0.975414,0.466395,1.6715,0.414225,0.615033
117,A26 (386C),ILC3_A26,B-naive_A26,EFNA1,EPHA2,0.20345,0.081043,0.350058,0.0722,0.237016,0.198804
118,A26 (386C),ILC3_A26,B-naive_A26,WNT5A,FZD1,0.182834,0.783764,0.224376,-0.1102,0.211696,0.366841
119,A26 (386C),ILC3_A26,B-naive_A26,MIF,CD74,0.290487,0.366655,0.588859,1.2893,0.283336,0.686701
120,A26 (386C),ILC3_A26,B-naive_A26,VEGFA,KDR,0.076849,0.041988,0.03677,0.9133,0.200208,0.315003
121,A26 (386C),ILC3_A26,B-naive_A26,RPS19,C5AR1,0.555737,0.580355,0.342451,1.4588,0.198276,0.599725
122,A26 (386C),Stromal-Intestine_A26,Epi-Intestine_A26,CSF1,CSF1R,0.438691,0.653206,0.446939,1.1842,0.250719,0.687002
123,A26 (386C),Stromal-Intestine_A26,Epi-Intestine_A26,CXCL12,CXCR4,0.51931,0.814335,0.4769,0.4896,0.299238,0.544639
124,A26 (386C),Stromal-Intestine_A26,Epi-Intestine_A26,FAM3C,HLA-C,0.391027,0.862416,0.243995,1.0015,0.25755,0.719475
125,A26 (386C),Stromal-Intestine_A26,Epi-Intestine_A26,EGF,EGFR,0.336359,0.28235,0.106749,1.0046,0.185461,0.609689
126,A26 (386C),Mast_A26,Stromal-Intestine_A26,SPP1,CD44,0.692267,0.454613,0.650099,1.1549,0.319263,0.271883
127,A26 (386C),Mast_A26,Stromal-Intestine_A26,CDH1,ITGB1,0.49261,0.172402,0.236905,1.4142,0.187568,0.477432
128,A26 (386C),Mast_A26,Stromal-Intestine_A26,APP,CD74,0.519008,1.0,0.409869,0.6991,0.354519,0.718495
129,A26 (386C),Mast_A26,Stromal-Intestine_A26,FGF2,FGFR1,0.250386,0.369094,0.21751,0.5988,0.139931,0.429696
130,A26 (386C),Mast_A26,Stromal-Intestine_A26,CCL5,CCR1,0.632485,0.660409,0.320716,1.4356,0.371507,0.251699
131,A26 (386C),Mast_A26,Stromal-Intestine_A26,MIF,CD74,0.402188,1.0,0.379849,1.5375,0.53105,0.402949
132,A26 (386C),Mast_A26,Stromal-Intestine_A26,EFNA1,EPHA2,0.40283,0.37745,0.358749,0.1746,0.136212,0.365643
133,A26 (386C),T-gamma/delta_A26,B-naive_A26,FGF2,FGFR1,0.27301,0.547884,0.074711,1.1889,0.167523,0.545325
134,A26 (386C),T-gamma/delta_A26,B-naive_A26,VEGFA,KDR,0.186844,0.235768,0.148353,0.2977,0.001,0.023117
135,A26 (386C),T-gamma/delta_A26,B-naive_A26,FAM3C,HLA-C,0.42309,1.0,0.28778,0.8453,0.173493,0.719197
136,A26 (386C),T-gamma/delta_A26,B-naive_A26,MIF,CD74,0.475793,0.679603,0.421715,1.331,0.37467,0.647457
137,A26 (386C),B-naive_A26,ILC3_A26,CDH1,ITGB1,0.027485,0.862499,0.160644,0.2293,0.0376,0.181981
138,A26 (386C),B-naive_A26,ILC3_A26,CCL5,CCR1,0.68451,0.539539,0.473299,0.8216,0.400144,0.58946
139,A26 (386C),B-naive_A26,ILC3_A26,EGF,EGFR,0.241522,0.257187,0.127191,0.8,0.001,0.777541
140,A26 (386C),B-naive_A26,ILC3_A26,WNT5A,FZD1,0.062805,0.818653,0.183968,0.5884,0.132481,0.868314
141,A26 (386C),Plasma_A26,Mac_A26,FAM3C,HLA-C,0.523144,0.909599,0.34843,1.2405,0.331479,0.514344
142,A26 (386C),Plasma_A26,Mac_A26,LILRB4,LAIR1,0.584292,1.0,0.357873,1.499,0.331112,0.641182
143,A26 (386C),Plasma_A26,Mac_A26,APP,CD74,0.572806,0.671417,0.452407,1.5215,0.392196,0.911711
144,A26 (386C),Plasma_A26,Mac_A26,HLA-E,KLRC1,0.545617,0.786977,0.411991,1.0144,0.297333,0.760702
145,A26 (386C),Plasma_A26,Mac_A26,FGF2,FGFR1,0.513557,0.552998,0.014091,0.592,0.003426,0.401599
146,A26 (386C),Plasma_A26,Mac_A26,CSF1,CSF1R,0.448164,0.770019,0.100687,1.2767,0.493415,0.744117
147,A26 (386C),Stromal-Intestine_A26,Plasma_A26,AREG,EGFR,0.455855,0.833399,0.359589,0.8789,0.396098,0.545684
148,A26 (386C),Stromal-Intestine_A26,Plasma_A26,WNT5A,FZD1,0.326453,0.524248,0.096925,0.3263,0.151931,0.159656
149,A26 (386C),Stromal-Intestine_A26,Plasma_A26,APP,CD74,0.41736,0.659946,0.262802,1.2852,0.338186,0.555
150,A26 (386C),Stromal-Intestine_A26,Plasma_A26,HLA-E,KLRC1,0.346698,0.356633,0.162028,1.046,0.135592,0.828054
151,A26 (386C),Stromal-Intestine_A26,Plasma_A26,MDK,LRP1,0.279054,1.0,0.2339,1.6844,0.291846,0.809942
152,A26 (386C),Stromal-Intestine_A26,Plasma_A26,HGF,MET,0.268582,1.0,0.157389,0.2817,0.210493,0.395819
153,A26 (386C),Stromal-Intestine_A26,Plasma_A26,CD99,PILRA,0.294528,0.951449,0.345865,1.4515,0.557933,0.834385
154,A26 (386C),Endo_A26,Stromal-Intestine_A26,TNF,TNFRSF1A,0.001,0.678923,0.303713,0.8046,0.157116,0.43643
155,A26 (386C),Endo_A26,Stromal-Intestine_A26,CCL3,CCR1,0.43312,0.773251,0.158821,1.3866,0.249997,0.856156
156,A26 (386C),Endo_A26,Stromal-Intestine_A26,PDGFB,PDGFRB,0.370983,0.553493,0.228962,1.1188,0.016582,0.222326
157,A26 (386C),Endo_A26,Stromal-Intestine_A26,TGFB1,TGFBR1,0.117742,0.160481,0.055889,0.5087,0.090838,0.092585
158,A26 (386C),Endo_A26,Stromal-Intestine_A26,HGF,MET,0.397872,0.456138,0.231089,-0.1997,0.137481,0.451896
159,A26 (386C),Endo_A26,Stromal-Intestine_A26,CDH1,ITGB1,0.416453,0.706632,0.388685,0.9784,0.218187,0.334539
160,A26 (386C),Endo_A26,Stromal-Intestine_A26,EGF,EGFR,0.136938,0.373766,0.142725,0.7672,0.141554,0.513999
161,A26 (386C),Mast_A26,Mac_A26,FAM3C,HLA-C,0.465037,0.603059,0.317282,0.9076,0.250356,0.7069
162,A26 (386C),Mast_A26,Mac_A26,HLA-E,KLRC1,0.52229,0.657161,0.301409,1.4392,0.27484,0.441969
163,A26 (386C),Mast_A26,Mac_A26,C3,C3AR1,0.497249,0.713877,0.261595,1.6309,0.409601,0.658179
164,A26 (386C),Mast_A26,Mac_A26,CSF1,CSF1R,0.539656,0.911827,0.386289,1.6565,0.490601,0.666099
165,A26 (386C),Mast_A26,Mac_A26,EGF,EGFR,0.346038,0.638363,0.169435,0.2487,0.2656,0.036247
166,A26 (386C),Mast_A26,Mac_A26,AREG,EGFR,0.788326,0.997608,0.412523,1.3204,0.500136,0.460755
167,A26 (386C),Mast_A26,Mac_A26,APP,CD74,0.345971,0.630466,0.358584,0.8974,0.340386,0.677189
168,A26 (386C),T-CD8_A26,T-gamma/delta_A26,CSF1,CSF1R,0.582659,0.625257,0.265999,1.0418,0.25664,0.754999
169,A26 (386C),T-CD8_A26,T-gamma/delta_A26,WNT5A,FZD1,0.208006,0.610358,0.280569,1.1162,0.265072,0.506871
170,A26 (386C),T-CD8_A26,T-gamma/delta_A26,VEGFA,KDR,0.395478,0.290827,0.178574,-0.0321,0.204175,0.215247
171,A26 (386C),T-CD8_A26,T-gamma/delta_A26,FAM3C,HLA-C,0.580232,0.911871,0.227749,0.8945,0.290065,0.54648
172,A26 (386C),T-CD8_A26,T-gamma/delta_A26,HGF,MET,0.305053,0.131144,0.215661,0.0246,0.001,0.493333
173,A26 (386C),B-mem_A26,Epi-Intestine_A26,IL6,IL6R,0.098524,0.092243,0.116167,0.4976,0.274427,0.450051
174,A26 (386C),B-mem_A26,Epi-Intestine_A26,CDH1,ITGB1,0.419882,0.476137,0.170148,1.2599,0.218066,0.337669
175,A26 (386C),B-mem_A26,Epi-Intestine_A26,C3,C3AR1,0.397298,0.642741,0.129129,0.8196,0.322987,0.592252
176,A26 (386C),B-mem_A26,Epi-Intestine_A26,IGF1,IGF1R,0.444292,0.243927,0.271889,1.2047,0.001,0.345678
177,A26 (386C),B-mem_A26,Epi-Intestine_A26,COPA,CD74,0.259331,0.919584,0.567981,0.3302,0.449376,0.795699
178,A26 (386C),B-mem_A26,Epi-Intestine_A26,MDK,LRP1,0.748159,0.875454,0.535996,1.2724,0.251634,0.528915
179,A26 (386C),B-mem_A26,Epi-Intestine_A26,GRN,SORT1,0.649196,0.657962,0.417695,0.7042,0.458611,0.741238
180,A26 (386C),T-CD4_A26,DC_A26,RPS19,C5AR1,0.516326,1.0,0.548987,1.1795,0.349159,0.716833
181,A26 (386C),T-CD4_A26,DC_A26,TNF,TNFRSF1A,0.107242,0.001,0.145223,1.2431,0.147442,0.260519
182,A26 (386C),T-CD4_A26,DC_A26,LTB,LTBR,0.503856,0.678306,0.229327,1.0921,0.300247,0.742128
183,A26 (386C),T-CD4_A26,DC_A26,EGF,EGFR,0.17378,0.001,0.474803,0.6843,0.299043,0.515097
184,A26 (386C),T-CD4_A26,DC_A26,SPP1,CD44,0.491267,0.777443,0.283401,2.2165,0.232093,0.93587
185,A26 (386C),T-gamma/delta_A26,Stromal-Intestine_A26,GRN,SORT1,0.445015,1.0,0.240676,1.2759,0.316282,0.406054
186,A26 (386C),T-gamma/delta_A26,Stromal-Intestine_A26,CCL5,CCR1,0.358801,0.345087,0.270664,0.9356,0.360748,0.754149
187,A26 (386C),T-gamma/delta_A26,Stromal-Intestine_A26,C3,C3AR1,0.446192,0.452304,0.547021,0.9329,0.416623,0.701609
188,A26 (386C),T-gamma/delta_A26,Stromal-Intestine_A26,RPS19,C5AR1,0.444697,0.131258,0.235988,0.8721,0.340391,0.507246
189,A26 (386C),Mono_A26,Mac_A26,AREG,EGFR,0.435103,0.487429,0.198589,1.5499,0.345785,0.417212
190,A26 (386C),Mono_A26,Mac_A26,BMP4,BMPR1A,0.202199,0.492713,0.260814,1.218,0.197857,0.303123
191,A26 (386C),Mono_A26,Mac_A26,CD99,PILRA,0.37658,0.809296,0.563288,1.047,0.273651,0.6397
192,A26 (386C),Mono_A26,Mac_A26,VEGFA,KDR,0.35664,0.494328,0.073219,0.8503,0.196383,0.273406
193,A26 (386C),Epi-Intestine_A26,DC_A26,IGF1,IGF1R,0.447299,0.516949,0.24456,1.9858,0.1581,0.383837
194,A26 (386C),Epi-Intestine_A26,DC_A26,TGFB1,TGFBR1,0.540104,0.218748,0.08508,0.1272,0.228366,0.475126
195,A26 (386C),Epi-Intestine_A26,DC_A26,APP,CD74,0.631223,0.44161,0.510703,1.7789,0.315269,0.656513
196,A26 (386C),Epi-Intestine_A26,DC_A26,PDGFB,PDGFRB,0.381339,0.511786,0.287036,0.2656,0.157538,0.107505
197,A26 (386C),DC_A26,Plasma_A26,SPP1,CD44,0.599821,0.907867,0.282338,0.872,0.500741,0.796384
198,A26 (386C),DC_A26,Plasma_A26,MDK,LRP1,0.334099,0.780332,0.283946,0.9142,0.308706,0.487271
199,A26 (386C),DC_A26,Plasma_A26,AREG,EGFR,0.659924,0.782292,0.320206,1.1893,0.265149,0.437934
200,A26 (386C),Plasma_A26,Endo_A26,RPS19,C5AR1,0.389431,0.958984,0.167587,0.4519,0.324585,0.686185
201,A26 (386C),Plasma_A26,Endo_A26,EFNA1,EPHA2,0.31306,0.196804,0.19194,0.1405,0.196956,0.026936
202,A26 (386C),Plasma_A26,Endo_A26,CDH1,ITGB1,0.257614,0.485395,0.001,0.491,0.253815,0.659794
203,A26 (386C),Plasma_A26,Endo_A26,JAG1,NOTCH2,0.054406,0.50498,0.061686,0.1619,0.334607,0.483636
204,A26 (386C),Plasma_A26,Endo_A26,APP,CD74,0.399371,0.834757,0.467034,1.3725,0.549728,0.771156
205,A26 (386C),NK_A26,B-naive_A26,FGF2,FGFR1,0.212828,0.904927,0.377398,0.8728,0.148948,0.704651
206,A26 (386C),NK_A26,B-naive_A26,BMP4,BMPR1A,0.140122,0.517509,0.001,1.0702,0.140869,0.459015
