patient_id,source,target,ligand,receptor,prod_weight
A26 (386C),Mac_A26,Plasma_A26,IGF1,IGF1R,0.103802
A26 (386C),Mac_A26,Plasma_A26,CCL5,CCR1,0.324275
A26 (386C),Mac_A26,Plasma_A26,FAM3C,HLA-C,0.368459
A26 (386C),Endo_A26,Mono_A26,IL6,IL6R,0.278693
A26 (386C),Endo_A26,Mono_A26,WNT5A,FZD1,0.141738
A26 (386C),Endo_A26,Mono_A26,IGF1,IGF1R,0.197806
A26 (386C),Endo_A26,Mono_A26,JAG1,NOTCH2,0.100255
A26 (386C),Endo_A26,Mono_A26,TNF,TNFRSF1A,0.257499
A26 (386C),Endo_A26,Mono_A26,LTB,LTBR,0.325978
A26 (386C),Endo_A26,Mono_A26,LGALS9,MRC1,0.122917
A26 (386C),Mast_A26,T-gamma/delta_A26,JAG1,NOTCH2,0.187041
A26 (386C),Mast_A26,T-gamma/delta_A26,HGF,MET,0.163061
A26 (386C),Mast_A26,T-gamma/delta_A26,IGF1,IGF1R,0.165147
A26 (386C),Mast_A26,T-gamma/delta_A26,CSF1,CSF1R,0.134839
A26 (386C),Mast_A26,T-gamma/delta_A26,VEGFA,KDR,0.167054
A26 (386C),Mast_A26,T-gamma/delta_A26,EFNA1,EPHA2,0.030101
A26 (386C),ILC3_A26,Mast_A26,GRN,SORT1,0.445895
A26 (386C),ILC3_A26,Mast_A26,DLL1,NOTCH1,0.153232
A26 (386C),ILC3_A26,Mast_A26,CDH1,ITGB1,0.123558
A26 (386C),ILC3_A26,Mast_A26,TNFSF13B,HLA-DPB1,0.157783
A26 (386C),ILC3_A26,Mast_A26,LILRB4,LAIR1,0.33108
A26 (386C),ILC3_A26,Mast_A26,MDK,LRP1,0.399104
A26 (386C),ILC3_A26,Mast_A26,MIF,CD74,0.249903
A26 (386C),Mac_A26,ILC3_A26,CSF1,CSF1R,0.387046
A26 (386C),Mac_A26,ILC3_A26,CCL3,CCR1,0.276644
A26 (386C),Mac_A26,ILC3_A26,AREG,EGFR,0.180911
A26 (386C),Mac_A26,ILC3_A26,LTB,LTBR,0.218589
A26 (386C),Mac_A26,ILC3_A26,APP,CD74,0.379367
A26 (386C),T-gamma/delta_A26,Endo_A26,CDH1,ITGB1,0.016272
A26 (386C),T-gamma/delta_A26,Endo_A26,BMP4,BMPR1A,0.122494
A26 (386C),T-gamma/delta_A26,Endo_A26,WNT5A,FZD1,0.267925
A26 (386C),T-gamma/delta_A26,Endo_A26,HGF,MET,0.105268
A26 (386C),T-gamma/delta_A26,Endo_A26,TNFSF13B,HLA-DPB1,0.297068
A26 (386C),T-CD8_A26,Stromal-Intestine_A26,AREG,EGFR,0.243011
A26 (386C),T-CD8_A26,Stromal-Intestine_A26,VEGFA,KDR,0.320849
A26 (386C),T-CD8_A26,Stromal-Intestine_A26,BMP4,BMPR1A,0.183639
A26 (386C),T-CD8_A26,Stromal-Intestine_A26,EFNA1,EPHA2,0.12439
A26 (386C),Epi-Intestine_A26,ILC3_A26,TNFSF13B,HLA-DPB1,0.41605
A26 (386C),Epi-Intestine_A26,ILC3_A26,COPA,CD74,0.431254
A26 (386C),Epi-Intestine_A26,ILC3_A26,HLA-E,KLRC1,0.378652
A26 (386C),Epi-Intestine_A26,ILC3_A26,SPP1,CD44,0.337374
A26 (386C),Epi-Intestine_A26,T-CD4_A26,GRN,SORT1,0.198271
A26 (386C),Epi-Intestine_A26,T-CD4_A26,EFNA1,EPHA2,0.209071
A26 (386C),Epi-Intestine_A26,T-CD4_A26,EGF,EGFR,0.156398
A26 (386C),Epi-Intestine_A26,T-CD4_A26,IGF1,IGF1R,0.331345
A26 (386C),Epi-Intestine_A26,T-CD4_A26,WNT5A,FZD1,0.036189
A26 (386C),Epi-Intestine_A26,T-CD4_A26,CDH1,ITGB1,0.116122
A26 (386C),Epi-Intestine_A26,T-CD4_A26,C3,C3AR1,0.250726
A26 (386C),Mac_A26,T-gamma/delta_A26,CDH1,ITGB1,0.35972
A26 (386C),Mac_A26,T-gamma/delta_A26,DLL1,NOTCH1,0.171496
A26 (386C),Mac_A26,T-gamma/delta_A26,IGF1,IGF1R,0.230369
A26 (386C),Mac_A26,T-gamma/delta_A26,FAM3C,HLA-C,0.250553
A26 (386C),Mac_A26,T-gamma/delta_A26,AREG,EGFR,0.497525
A26 (386C),Mac_A26,T-gamma/delta_A26,APP,CD74,0.424985
A26 (386C),Mac_A26,T-gamma/delta_A26,JAG1,NOTCH2,0.119883
A26 (386C),B-naive_A26,Mast_A26,DLL1,NOTCH1,0.369416
A26 (386C),B-naive_A26,Mast_A26,IGF1,IGF1R,0.133126
A26 (386C),B-naive_A26,Mast_A26,HLA-E,KLRC1,0.38297
A26 (386C),B-naive_A26,Mast_A26,LILRB4,LAIR1,0.399172
A26 (386C),B-naive_A26,Mast_A26,TNFSF13B,HLA-DPB1,0.470042
A26 (386C),B-mem_A26,B-naive_A26,PDGFB,PDGFRB,0.118398
A26 (386C),B-mem_A26,B-naive_A26,TNF,TNFRSF1A,0.090323
A26 (386C),B-mem_A26,B-naive_A26,JAG1,NOTCH2,0.179775
A26 (386C),B-mem_A26,B-naive_A26,TNFSF13B,HLA-DPB1,0.229304
A26 (386C),B-mem_A26,B-naive_A26,MIF,CD74,0.154664
A26 (386C),ILC3_A26,B-naive_A26,LTB,LTBR,0.414225
A26 (386C),ILC3_A26,B-naive_A26,EFNA1,EPHA2,0.237016
A26 (386C),ILC3_A26,B-naive_A26,WNT5A,FZD1,0.211696
A26 (386C),ILC3_A26,B-naive_A26,MIF,CD74,0.283336
A26 (386C),ILC3_A26,B-naive_A26,VEGFA,KDR,0.200208
A26 (386C),ILC3_A26,B-naive_A26,RPS19,C5AR1,0.198276
A26 (386C),Stromal-Intestine_A26,Epi-Intestine_A26,CSF1,CSF1R,0.250719
A26 (386C),Stromal-Intestine_A26,Epi-Intestine_A26,CXCL12,CXCR4,0.299238
A26 (386C),Stromal-Intestine_A26,Epi-Intestine_A26,FAM3C,HLA-C,0.25755
A26 (386C),Stromal-Intestine_A26,Epi-Intestine_A26,EGF,EGFR,0.185461
A26 (386C),Mast_A26,Stromal-Intestine_A26,SPP1,CD44,0.319263
A26 (386C),Mast_A26,Stromal-Intestine_A26,CDH1,ITGB1,0.187568
A26 (386C),Mast_A26,Stromal-Intestine_A26,APP,CD74,0.354519
A26 (386C),Mast_A26,Stromal-Intestine_A26,FGF2,FGFR1,0.139931
A26 (386C),Mast_A26,Stromal-Intestine_A26,CCL5,CCR1,0.371507
A26 (386C),Mast_A26,Stromal-Intestine_A26,MIF,CD74,0.53105
A26 (386C),Mast_A26,Stromal-Intestine_A26,EFNA1,EPHA2,0.136212
A26 (386C),T-gamma/delta_A26,B-naive_A26,FGF2,FGFR1,0.167523
A26 (386C),T-gamma/delta_A26,B-naive_A26,VEGFA,KDR,0.001
A26 (386C),T-gamma/delta_A26,B-naive_A26,FAM3C,HLA-C,0.173493
A26 (386C),T-gamma/delta_A26,B-naive_A26,MIF,CD74,0.37467
A26 (386C),B-naive_A26,ILC3_A26,CDH1,ITGB1,0.0376
A26 (386C),B-naive_A26,ILC3_A26,CCL5,CCR1,0.400144
A26 (386C),B-naive_A26,ILC3_A26,EGF,EGFR,0.001
A26 (386C),B-naive_A26,ILC3_A26,WNT5A,FZD1,0.132481
A26 (386C),Plasma_A26,Mac_A26,FAM3C,HLA-C,0.331479
A26 (386C),Plasma_A26,Mac_A26,LILRB4,LAIR1,0.331112
A26 (386C),Plasma_A26,Mac_A26,APP,CD74,0.392196
A26 (386C),Plasma_A26,Mac_A26,HLA-E,KLRC1,0.297333
A26 (386C),Plasma_A26,Mac_A26,FGF2,FGFR1,0.003426
A26 (386C),Plasma_A26,Mac_A26,CSF1,CSF1R,0.493415
A26 (386C),Stromal-Intestine_A26,Plasma_A26,AREG,EGFR,0.396098
A26 (386C),Stromal-Intestine_A26,Plasma_A26,WNT5A,FZD1,0.151931
A26 (386C),Stromal-Intestine_A26,Plasma_A26,APP,CD74,0.338186
A26 (386C),Stromal-Intestine_A26,Plasma_A26,HLA-E,KLRC1,0.135592
A26 (386C),Stromal-Intestine_A26,Plasma_A26,MDK,LRP1,0.291846
A26 (386C),Stromal-Intestine_A26,Plasma_A26,HGF,MET,0.210493
A26 (386C),Stromal-Intestine_A26,Plasma_A26,CD99,PILRA,0.557933
A26 (386C),Endo_A26,Stromal-Intestine_A26,TNF,TNFRSF1A,0.157116
A26 (386C),Endo_A26,Stromal-Intestine_A26,CCL3,CCR1,0.249997
A26 (386C),Endo_A26,Stromal-Intestine_A26,PDGFB,PDGFRB,0.016582
A26 (386C),Endo_A26,Stromal-Intestine_A26,TGFB1,TGFBR1,0.090838
A26 (386C),Endo_A26,Stromal-Intestine_A26,HGF,MET,0.137481
A26 (386C),Endo_A26,Stromal-Intestine_A26,CDH1,ITGB1,0.218187
A26 (386C),Endo_A26,Stromal-Intestine_A26,EGF,EGFR,0.141554
A26 (386C),Mast_A26,Mac_A26,FAM3C,HLA-C,0.250356
A26 (386C),Mast_A26,Mac_A26,HLA-E,KLRC1,0.27484
A26 (386C),Mast_A26,Mac_A26,C3,C3AR1,0.409601
A26 (386C),Mast_A26,Mac_A26,CSF1,CSF1R,0.490601
A26 (386C),Mast_A26,Mac_A26,EGF,EGFR,0.2656
A26 (386C),Mast_A26,Mac_A26,AREG,EGFR,0.500136
A26 (386C),Mast_A26,Mac_A26,APP,CD74,0.340386
A26 (386C),T-CD8_A26,T-gamma/delta_A26,CSF1,CSF1R,0.25664
A26 (386C),T-CD8_A26,T-gamma/delta_A26,WNT5A,FZD1,0.265072
A26 (386C),T-CD8_A26,T-gamma/delta_A26,VEGFA,KDR,0.204175
A26 (386C),T-CD8_A26,T-gamma/delta_A26,FAM3C,HLA-C,0.290065
A26 (386C),T-CD8_A26,T-gamma/delta_A26,HGF,MET,0.001
A26 (386C),B-mem_A26,Epi-Intestine_A26,IL6,IL6R,0.274427
A26 (386C),B-mem_A26,Epi-Intestine_A26,CDH1,ITGB1,0.218066
A26 (386C),B-mem_A26,Epi-Intestine_A26,C3,C3AR1,0.322987
A26 (386C),B-mem_A26,Epi-Intestine_A26,IGF1,IGF1R,0.001
A26 (386C),B-mem_A26,Epi-Intestine_A26,COPA,CD74,0.449376
A26 (386C),B-mem_A26,Epi-Intestine_A26,MDK,LRP1,0.251634
A26 (386C),B-mem_A26,Epi-Intestine_A26,GRN,SORT1,0.458611
A26 (386C),T-CD4_A26,DC_A26,RPS19,C5AR1,0.349159
A26 (386C),T-CD4_A26,DC_A26,TNF,TNFRSF1A,0.147442
A26 (386C),T-CD4_A26,DC_A26,LTB,LTBR,0.300247
A26 (386C),T-CD4_A26,DC_A26,EGF,EGFR,0.299043
A26 (386C),T-CD4_A26,DC_A26,SPP1,CD44,0.232093
A26 (386C),T-gamma/delta_A26,Stromal-Intestine_A26,GRN,SORT1,0.316282
A26 (386C),T-gamma/delta_A26,Stromal-Intestine_A26,CCL5,CCR1,0.360748
A26 (386C),T-gamma/delta_A26,Stromal-Intestine_A26,C3,C3AR1,0.416623
A26 (386C),T-gamma/delta_A26,Stromal-Intestine_A26,RPS19,C5AR1,0.340391
A26 (386C),Mono_A26,Mac_A26,AREG,EGFR,0.345785
A26 (386C),Mono_A26,Mac_A26,BMP4,BMPR1A,0.197857
A26 (386C),Mono_A26,Mac_A26,CD99,PILRA,0.273651
A26 (386C),Mono_A26,Mac_A26,VEGFA,KDR,0.196383
A26 (386C),Epi-Intestine_A26,DC_A26,IGF1,IGF1R,0.1581
A26 (386C),Epi-Intestine_A26,DC_A26,TGFB1,TGFBR1,0.228366
A26 (386C),Epi-Intestine_A26,DC_A26,APP,CD74,0.315269
A26 (386C),Epi-Intestine_A26,DC_A26,PDGFB,PDGFRB,0.157538
A26 (386C),DC_A26,Plasma_A26,SPP1,CD44,0.500741
A26 (386C),DC_A26,Plasma_A26,MDK,LRP1,0.308706
A26 (386C),DC_A26,Plasma_A26,AREG,EGFR,0.265149
A26 (386C),Plasma_A26,Endo_A26,RPS19,C5AR1,0.324585
A26 (386C),Plasma_A26,Endo_A26,EFNA1,EPHA2,0.196956
A26 (386C),Plasma_A26,Endo_A26,CDH1,ITGB1,0.253815
A26 (386C),Plasma_A26,Endo_A26,JAG1,NOTCH2,0.334607
A26 (386C),Plasma_A26,Endo_A26,APP,CD74,0.549728
A26 (386C),NK_A26,B-naive_A26,FGF2,FGFR1,0.148948
A26 (386C),NK_A26,B-naive_A26,BMP4,BMPR1A,0.140869
A26 (386C),NK_A26,B-naive_A26,LGALS9,MRC1,0.416274
A26 (386C),NK_A26,B-naive_A26,COPA,CD74,0.396258
A26 (386C),NK_A26,B-naive_A26,EGF,EGFR,0.072822
A26 (386C),NK_A26,B-naive_A26,IL6,IL6R,0.061676
A26 (386C),NK_A26,B-naive_A26,LTB,LTBR,0.324962
A26 (386C),Endo_A26,T-CD8_A26,C3,C3AR1,0.349377
A26 (386C),Endo_A26,T-CD8_A26,IGF1,IGF1R,0.223204
A26 (386C),Endo_A26,T-CD8_A26,COPA,CD74,0.388316
A38 (432C),ILC3_A38,NK_A38,CCL5,CCR1,0.467376
A38 (432C),ILC3_A38,NK_A38,MDK,LRP1,0.238071
A38 (432C),ILC3_A38,NK_A38,DLL1,NOTCH1,0.057066
A38 (432C),ILC3_A38,NK_A38,APP,CD74,0.330861
A38 (432C),T-CD8_A38,Mac_A38,HLA-E,KLRC1,0.316395
A38 (432C),T-CD8_A38,Mac_A38,CCL3,CCR1,0.291672
A38 (432C),T-CD8_A38,Mac_A38,C3,C3AR1,0.172095
A38 (432C),T-CD8_A38,Mac_A38,AREG,EGFR,0.537562
A38 (432C),T-CD8_A38,Mac_A38,FAM3C,HLA-C,0.30672
A38 (432C),T-CD8_A38,Mac_A38,BMP4,BMPR1A,0.18084
A38 (432C),T-CD8_A38,Mac_A38,CSF1,CSF1R,0.228587
A38 (432C),T-gamma/delta_A38,B-naive_A38,C3,C3AR1,0.403466
A38 (432C),T-gamma/delta_A38,B-naive_A38,IL6,IL6R,0.001
A38 (432C),T-gamma/delta_A38,B-naive_A38,TGFB1,TGFBR1,0.196747
A38 (432C),T-gamma/delta_A38,B-naive_A38,FGF2,FGFR1,0.259385
A38 (432C),T-gamma/delta_A38,B-naive_A38,CCL5,CCR1,0.298591
A38 (432C),DC_A38,B-naive_A38,SPP1,CD44,0.446882
A38 (432C),DC_A38,B-naive_A38,MIF,CD74,0.147289
A38 (432C),DC_A38,B-naive_A38,LTB,LTBR,0.119363
A38 (432C),DC_A38,B-naive_A38,HGF,MET,0.151663
A38 (432C),DC_A38,B-naive_A38,RPS19,C5AR1,0.45044
A38 (432C),DC_A38,B-naive_A38,IGF1,IGF1R,0.031958
A38 (432C),B-mem_A38,Endo_A38,TNF,TNFRSF1A,0.100767
A38 (432C),B-mem_A38,Endo_A38,JAG1,NOTCH2,0.160775
A38 (432C),B-mem_A38,Endo_A38,EFNA1,EPHA2,0.054031
A38 (432C),B-mem_A38,Endo_A38,DLL1,NOTCH1,0.18139
A38 (432C),B-mem_A38,Endo_A38,TGFB1,TGFBR1,0.117319
A38 (432C),B-mem_A38,Endo_A38,SPP1,CD44,0.302865
A38 (432C),B-mem_A38,Endo_A38,C3,C3AR1,0.1458
A38 (432C),Mast_A38,DC_A38,CDH1,ITGB1,0.257842
A38 (432C),Mast_A38,DC_A38,TNF,TNFRSF1A,0.039489
A38 (432C),Mast_A38,DC_A38,TGFB1,TGFBR1,0.001
A38 (432C),Mast_A38,DC_A38,LGALS9,MRC1,0.28793
A38 (432C),Mast_A38,DC_A38,AREG,EGFR,0.361893
A38 (432C),Mast_A38,DC_A38,MDK,LRP1,0.261296
A38 (432C),B-mem_A38,Stromal-Intestine_A38,GRN,SORT1,0.383072
A38 (432C),B-mem_A38,Stromal-Intestine_A38,CDH1,ITGB1,0.178056
A38 (432C),B-mem_A38,Stromal-Intestine_A38,HLA-E,KLRC1,0.343264
A38 (432C),B-mem_A38,Stromal-Intestine_A38,LTB,LTBR,0.446929
A38 (432C),B-mem_A38,Stromal-Intestine_A38,LILRB4,LAIR1,0.323729
A38 (432C),B-mem_A38,Stromal-Intestine_A38,CSF1,CSF1R,0.406361
A38 (432C),B-mem_A38,Stromal-Intestine_A38,TGFB1,TGFBR1,0.253783
A38 (432C),Endo_A38,Plasma_A38,CD99,PILRA,0.283184
A38 (432C),Endo_A38,Plasma_A38,CCL3,CCR1,0.244891
A38 (432C),Endo_A38,Plasma_A38,TNF,TNFRSF1A,0.185769
A38 (432C),Endo_A38,Plasma_A38,CSF1,CSF1R,0.211683
A38 (432C),Endo_A38,Plasma_A38,WNT5A,FZD1,0.117395
A38 (432C),T-CD4_A38,DC_A38,AREG,EGFR,0.215934
A38 (432C),T-CD4_A38,DC_A38,CCL3,CCR1,0.336244
A38 (432C),T-CD4_A38,DC_A38,SPP1,CD44,0.18078
A38 (432C),T-CD4_A38,DC_A38,VEGFA,KDR,0.116622
A38 (432C),T-CD4_A38,DC_A38,CDH1,ITGB1,0.001
A38 (432C),T-CD4_A38,DC_A38,EFNA1,EPHA2,0.057251
A38 (432C),T-CD4_A38,DC_A38,WNT5A,FZD1,0.245098
A38 (432C),B-naive_A38,Plasma_A38,COPA,CD74,0.437602
A38 (432C),B-naive_A38,Plasma_A38,HGF,MET,0.141572
A38 (432C),B-naive_A38,Plasma_A38,TGFB1,TGFBR1,0.145627
A38 (432C),Stromal-Intestine_A38,DC_A38,CCL5,CCR1,0.435497
A38 (432C),Stromal-Intestine_A38,DC_A38,TGFB1,TGFBR1,0.118705
A38 (432C),Stromal-Intestine_A38,DC_A38,CCL3,CCR1,0.251119
A38 (432C),Stromal-Intestine_A38,DC_A38,CXCL12,CXCR4,0.234647
A38 (432C),Stromal-Intestine_A38,DC_A38,TNFSF13B,HLA-DPB1,0.20947
A38 (432C),Stromal-Intestine_A38,DC_A38,CD99,PILRA,0.347134
A38 (432C),Stromal-Intestine_A38,DC_A38,LGALS9,MRC1,0.341802
A38 (432C),Mono_A38,B-naive_A38,GRN,SORT1,0.057297
A38 (432C),Mono_A38,B-naive_A38,PDGFB,PDGFRB,0.125827
A38 (432C),Mono_A38,B-naive_A38,AREG,EGFR,0.275852
A38 (432C),Mono_A38,B-naive_A38,TNFSF13B,HLA-DPB1,0.274777
A38 (432C),Mono_A38,B-naive_A38,APP,CD74,0.350246
A38 (432C),Mono_A38,B-naive_A38,DLL1,NOTCH1,0.012673
A38 (432C),Mono_A38,B-naive_A38,SPP1,CD44,0.124888
A38 (432C),Endo_A38,ILC3_A38,AREG,EGFR,0.296209
A38 (432C),Endo_A38,ILC3_A38,MIF,CD74,0.273964
A38 (432C),Endo_A38,ILC3_A38,LILRB4,LAIR1,0.295794
A38 (432C),Endo_A38,ILC3_A38,CD99,PILRA,0.43303
A38 (432C),Endo_A38,ILC3_A38,CCL3,CCR1,0.306485
A38 (432C),T-CD4_A38,Mast_A38,EGF,EGFR,0.114409
A38 (432C),T-CD4_A38,Mast_A38,MDK,LRP1,0.43334
A38 (432C),T-CD4_A38,Mast_A38,DLL1,NOTCH1,0.314822
A38 (432C),T-CD4_A38,Mast_A38,TNF,TNFRSF1A,0.171397
A38 (432C),B-naive_A38,T-gamma/delta_A38,WNT5A,FZD1,0.132355
A38 (432C),B-naive_A38,T-gamma/delta_A38,VEGFA,KDR,0.215136
A38 (432C),B-naive_A38,T-gamma/delta_A38,HLA-E,KLRC1,0.356422
A38 (432C),B-naive_A38,T-gamma/delta_A38,BMP4,BMPR1A,0.246419
A38 (432C),B-naive_A38,T-gamma/delta_A38,TNF,TNFRSF1A,0.177667
A38 (432C),B-naive_A38,T-gamma/delta_A38,MDK,LRP1,0.380812
A38 (432C),B-naive_A38,T-gamma/delta_A38,MIF,CD74,0.426215
A38 (432C),DC_A38,B-mem_A38,GRN,SORT1,0.183812
A38 (432C),DC_A38,B-mem_A38,LILRB4,LAIR1,0.439375
A38 (432C),DC_A38,B-mem_A38,BMP4,BMPR1A,0.001
A38 (432C),DC_A38,T-CD8_A38,TNF,TNFRSF1A,0.204654
A38 (432C),DC_A38,T-CD8_A38,EGF,EGFR,0.291023
A38 (432C),DC_A38,T-CD8_A38,CCL5,CCR1,0.30247
A38 (432C),DC_A38,T-CD8_A38,FAM3C,HLA-C,0.414285
A38 (432C),DC_A38,T-CD8_A38,LGALS9,MRC1,0.410809
A38 (432C),DC_A38,T-CD8_A38,VEGFA,KDR,0.054307
A38 (432C),DC_A38,T-CD8_A38,CXCL12,CXCR4,0.252714
A38 (432C),Mac_A38,Mono_A38,MIF,CD74,0.17427
A38 (432C),Mac_A38,Mono_A38,SPP1,CD44,0.364945
A38 (432C),Mac_A38,Mono_A38,PDGFB,PDGFRB,0.153721
A38 (432C),Mac_A38,Mono_A38,EGF,EGFR,0.0228
A38 (432C),Mac_A38,Mono_A38,DLL1,NOTCH1,0.239684
A38 (432C),Mac_A38,Mono_A38,COPA,CD74,0.263001
A38 (432C),T-CD4_A38,B-naive_A38,IL6,IL6R,0.281576
A38 (432C),T-CD4_A38,B-naive_A38,SPP1,CD44,0.389241
A38 (432C),T-CD4_A38,B-naive_A38,DLL1,NOTCH1,0.216754
A38 (432C),T-CD4_A38,B-naive_A38,MDK,LRP1,0.238846
A38 (432C),T-CD4_A38,B-naive_A38,CSF1,CSF1R,0.503986
A38 (432C),T-CD4_A38,B-naive_A38,CD99,PILRA,0.376211
A38 (432C),B-naive_A38,DC_A38,LTB,LTBR,0.167312
A38 (432C),B-naive_A38,DC_A38,MDK,LRP1,0.35401
A38 (432C),B-naive_A38,DC_A38,TGFB1,TGFBR1,0.028178
A38 (432C),Plasma_A38,Epi-Intestine_A38,C3,C3AR1,0.271899
A38 (432C),Plasma_A38,Epi-Intestine_A38,TGFB1,TGFBR1,0.155786
A38 (432C),Plasma_A38,Epi-Intestine_A38,APP,CD74,0.29843
A38 (432C),Plasma_A38,Epi-Intestine_A38,BMP4,BMPR1A,0.090066
A38 (432C),Plasma_A38,Epi-Intestine_A38,HLA-E,KLRC1,0.38195
A38 (432C),Plasma_A38,Epi-Intestine_A38,CDH1,ITGB1,0.166466
A38 (432C),Plasma_A38,Epi-Intestine_A38,LILRB4,LAIR1,0.166484
A38 (432C),T-CD4_A38,Mac_A38,CXCL12,CXCR4,0.248613
A38 (432C),T-CD4_A38,Mac_A38,VEGFA,KDR,0.092055
A38 (432C),T-CD4_A38,Mac_A38,IL6,IL6R,0.178578
A38 (432C),T-CD4_A38,Mac_A38,CD99,PILRA,0.231494
A38 (432C),T-CD4_A38,Mac_A38,GRN,SORT1,0.353028
A38 (432C),T-CD4_A38,Mac_A38,HLA-E,KLRC1,0.488489
A38 (432C),T-CD4_A38,Mac_A38,CCL5,CCR1,0.266315
A38 (432C),Mac_A38,ILC3_A38,PDGFB,PDGFRB,0.115995
A38 (432C),Mac_A38,ILC3_A38,IGF1,IGF1R,0.212306
A38 (432C),Mac_A38,ILC3_A38,DLL1,NOTCH1,0.328917
A38 (432C),Mac_A38,ILC3_A38,CSF1,CSF1R,0.325711
A38 (432C),Mac_A38,ILC3_A38,COPA,CD74,0.028485
A38 (432C),Mac_A38,ILC3_A38,SPP1,CD44,0.231913
A38 (432C),Endo_A38,NK_A38,CSF1,CSF1R,0.407488
A38 (432C),Endo_A38,NK_A38,CCL5,CCR1,0.346495
A38 (432C),Endo_A38,NK_A38,LILRB4,LAIR1,0.238331
A38 (432C),Endo_A38,NK_A38,JAG1,NOTCH2,0.230385
A38 (432C),Endo_A38,NK_A38,FGF2,FGFR1,0.333266
A38 (432C),Endo_A38,NK_A38,APP,CD74,0.403998
A38 (432C),Mono_A38,Endo_A38,IL6,IL6R,0.35793
