patient_id,source,target,ligand,receptor,logfc_comb
A26 (386C),B-mem_A26,Mac_A26,HLA-E,KLRC1,1.4666
A26 (386C),B-mem_A26,Mac_A26,IL6,IL6R,1.2419
A26 (386C),B-mem_A26,Mac_A26,CDH1,ITGB1,0.2687
A26 (386C),B-mem_A26,Mac_A26,JAG1,NOTCH2,0.9108
A26 (386C),B-mem_A26,Mac_A26,SPP1,CD44,1.3326
A26 (386C),B-mem_A26,Mac_A26,MDK,LRP1,1.5741
A26 (386C),B-mem_A26,Mac_A26,LGALS9,MRC1,1.2089
A26 (386C),DC_A26,T-CD4_A26,MIF,CD74,1.8397
A26 (386C),DC_A26,T-CD4_A26,AREG,EGFR,1.3625
A26 (386C),DC_A26,T-CD4_A26,LTB,LTBR,1.3153
A26 (386C),DC_A26,T-CD4_A26,CCL5,CCR1,1.3245
A26 (386C),DC_A26,T-CD4_A26,DLL1,NOTCH1,0.2442
A26 (386C),DC_A26,T-CD4_A26,HLA-E,KLRC1,0.5389
A26 (386C),DC_A26,T-CD4_A26,IGF1,IGF1R,-0.1157
A26 (386C),Plasma_A26,NK_A26,MDK,LRP1,2.104
A26 (386C),Plasma_A26,NK_A26,CSF1,CSF1R,1.1139
A26 (386C),Plasma_A26,NK_A26,CXCL12,CXCR4,1.3843
A26 (386C),Plasma_A26,NK_A26,PDGFB,PDGFRB,1.4048
A26 (386C),Mac_A26,Plasma_A26,FGF2,FGFR1,0.8283
A26 (386C),Mac_A26,Plasma_A26,TNF,TNFRSF1A,1.2697
A26 (386C),Mac_A26,Plasma_A26,APP,CD74,0.7285
A26 (386C),Mac_A26,Plasma_A26,CCL3,CCR1,1.0156
A26 (386C),Mac_A26,Plasma_A26,IGF1,IGF1R,0.6735
A26 (386C),Mac_A26,Plasma_A26,CCL5,CCR1,0.9639
A26 (386C),Mac_A26,Plasma_A26,FAM3C,HLA-C,1.0056
A26 (386C),Endo_A26,Mono_A26,IL6,IL6R,0.4662
A26 (386C),Endo_A26,Mono_A26,WNT5A,FZD1,0.0936
A26 (386C),Endo_A26,Mono_A26,IGF1,IGF1R,1.1539
A26 (386C),Endo_A26,Mono_A26,JAG1,NOTCH2,1.2803
A26 (386C),Endo_A26,Mono_A26,TNF,TNFRSF1A,0.0142
A26 (386C),Endo_A26,Mono_A26,LTB,LTBR,1.2855
A26 (386C),Endo_A26,Mono_A26,LGALS9,MRC1,0.2674
A26 (386C),Mast_A26,T-gamma/delta_A26,JAG1,NOTCH2,1.2699
A26 (386C),Mast_A26,T-gamma/delta_A26,HGF,MET,0.8535
A26 (386C),Mast_A26,T-gamma/delta_A26,IGF1,IGF1R,1.3113
A26 (386C),Mast_A26,T-gamma/delta_A26,CSF1,CSF1R,1.4375
A26 (386C),Mast_A26,T-gamma/delta_A26,VEGFA,KDR,0.1662
A26 (386C),Mast_A26,T-gamma/delta_A26,EFNA1,EPHA2,-0.0886
A26 (386C),ILC3_A26,Mast_A26,GRN,SORT1,0.6871
A26 (386C),ILC3_A26,Mast_A26,DLL1,NOTCH1,0.4044
A26 (386C),ILC3_A26,Mast_A26,CDH1,ITGB1,0.9824
A26 (386C),ILC3_A26,Mast_A26,TNFSF13B,HLA-DPB1,2.2676
A26 (386C),ILC3_A26,Mast_A26,LILRB4,LAIR1,1.6168
A26 (386C),ILC3_A26,Mast_A26,MDK,LRP1,1.3584
A26 (386C),ILC3_A26,Mast_A26,MIF,CD74,1.9399
A26 (386C),Mac_A26,ILC3_A26,CSF1,CSF1R,1.088
A26 (386C),Mac_A26,ILC3_A26,CCL3,CCR1,1.9177
A26 (386C),Mac_A26,ILC3_A26,AREG,EGFR,1.2534
A26 (386C),Mac_A26,ILC3_A26,LTB,LTBR,1.3332
A26 (386C),Mac_A26,ILC3_A26,APP,CD74,1.3577
A26 (386C),T-gamma/delta_A26,Endo_A26,CDH1,ITGB1,0.5708
A26 (386C),T-gamma/delta_A26,Endo_A26,BMP4,BMPR1A,1.1
A26 (386C),T-gamma/delta_A26,Endo_A26,WNT5A,FZD1,1.2293
A26 (386C),T-gamma/delta_A26,Endo_A26,HGF,MET,1.1079
A26 (386C),T-gamma/delta_A26,Endo_A26,TNFSF13B,HLA-DPB1,1.3239
A26 (386C),T-CD8_A26,Stromal-Intestine_A26,AREG,EGFR,1.184
A26 (386C),T-CD8_A26,Stromal-Intestine_A26,VEGFA,KDR,1.3041
A26 (386C),T-CD8_A26,Stromal-Intestine_A26,BMP4,BMPR1A,1.2265
A26 (386C),T-CD8_A26,Stromal-Intestine_A26,EFNA1,EPHA2,1.0626
A26 (386C),Epi-Intestine_A26,ILC3_A26,TNFSF13B,HLA-DPB1,0.9581
A26 (386C),Epi-Intestine_A26,ILC3_A26,COPA,CD74,1.419
A26 (386C),Epi-Intestine_A26,ILC3_A26,HLA-E,KLRC1,1.553
A26 (386C),Epi-Intestine_A26,ILC3_A26,SPP1,CD44,1.2923
A26 (386C),Epi-Intestine_A26,T-CD4_A26,GRN,SORT1,1.8238
A26 (386C),Epi-Intestine_A26,T-CD4_A26,EFNA1,EPHA2,1.2704
A26 (386C),Epi-Intestine_A26,T-CD4_A26,EGF,EGFR,0.8643
A26 (386C),Epi-Intestine_A26,T-CD4_A26,IGF1,IGF1R,0.8737
A26 (386C),Epi-Intestine_A26,T-CD4_A26,WNT5A,FZD1,0.5296
A26 (386C),Epi-Intestine_A26,T-CD4_A26,CDH1,ITGB1,0.8045
A26 (386C),Epi-Intestine_A26,T-CD4_A26,C3,C3AR1,1.7303
A26 (386C),Mac_A26,T-gamma/delta_A26,CDH1,ITGB1,0.8751
A26 (386C),Mac_A26,T-gamma/delta_A26,DLL1,NOTCH1,0.6984
A26 (386C),Mac_A26,T-gamma/delta_A26,IGF1,IGF1R,-0.0253
A26 (386C),Mac_A26,T-gamma/delta_A26,FAM3C,HLA-C,1.5007
A26 (386C),Mac_A26,T-gamma/delta_A26,AREG,EGFR,0.9906
A26 (386C),Mac_A26,T-gamma/delta_A26,APP,CD74,1.6248
A26 (386C),Mac_A26,T-gamma/delta_A26,JAG1,NOTCH2,0.2816
A26 (386C),B-naive_A26,Mast_A26,DLL1,NOTCH1,0.9347
A26 (386C),B-naive_A26,Mast_A26,IGF1,IGF1R,1.1245
A26 (386C),B-naive_A26,Mast_A26,HLA-E,KLRC1,1.348
A26 (386C),B-naive_A26,Mast_A26,LILRB4,LAIR1,2.0508
A26 (386C),B-naive_A26,Mast_A26,TNFSF13B,HLA-DPB1,1.0753
A26 (386C),B-mem_A26,B-naive_A26,PDGFB,PDGFRB,-0.0671
A26 (386C),B-mem_A26,B-naive_A26,TNF,TNFRSF1A,0.5395
A26 (386C),B-mem_A26,B-naive_A26,JAG1,NOTCH2,0.5728
A26 (386C),B-mem_A26,B-naive_A26,TNFSF13B,HLA-DPB1,0.9339
A26 (386C),B-mem_A26,B-naive_A26,MIF,CD74,1.4089
A26 (386C),ILC3_A26,B-naive_A26,LTB,LTBR,1.6715
A26 (386C),ILC3_A26,B-naive_A26,EFNA1,EPHA2,0.0722
A26 (386C),ILC3_A26,B-naive_A26,WNT5A,FZD1,-0.1102
A26 (386C),ILC3_A26,B-naive_A26,MIF,CD74,1.2893
A26 (386C),ILC3_A26,B-naive_A26,VEGFA,KDR,0.9133
A26 (386C),ILC3_A26,B-naive_A26,RPS19,C5AR1,1.4588
A26 (386C),Stromal-Intestine_A26,Epi-Intestine_A26,CSF1,CSF1R,1.1842
A26 (386C),Stromal-Intestine_A26,Epi-Intestine_A26,CXCL12,CXCR4,0.4896
A26 (386C),Stromal-Intestine_A26,Epi-Intestine_A26,FAM3C,HLA-C,1.0015
A26 (386C),Stromal-Intestine_A26,Epi-Intestine_A26,EGF,EGFR,1.0046
A26 (386C),Mast_A26,Stromal-Intestine_A26,SPP1,CD44,1.1549
A26 (386C),Mast_A26,Stromal-Intestine_A26,CDH1,ITGB1,1.4142
A26 (386C),Mast_A26,Stromal-Intestine_A26,APP,CD74,0.6991
A26 (386C),Mast_A26,Stromal-Intestine_A26,FGF2,FGFR1,0.5988
A26 (386C),Mast_A26,Stromal-Intestine_A26,CCL5,CCR1,1.4356
A26 (386C),Mast_A26,Stromal-Intestine_A26,MIF,CD74,1.5375
A26 (386C),Mast_A26,Stromal-Intestine_A26,EFNA1,EPHA2,0.1746
A26 (386C),T-gamma/delta_A26,B-naive_A26,FGF2,FGFR1,1.1889
A26 (386C),T-gamma/delta_A26,B-naive_A26,VEGFA,KDR,0.2977
A26 (386C),T-gamma/delta_A26,B-naive_A26,FAM3C,HLA-C,0.8453
A26 (386C),T-gamma/delta_A26,B-naive_A26,MIF,CD74,1.331
A26 (386C),B-naive_A26,ILC3_A26,CDH1,ITGB1,0.2293
A26 (386C),B-naive_A26,ILC3_A26,CCL5,CCR1,0.8216
A26 (386C),B-naive_A26,ILC3_A26,EGF,EGFR,0.8
A26 (386C),B-naive_A26,ILC3_A26,WNT5A,FZD1,0.5884
A26 (386C),Plasma_A26,Mac_A26,FAM3C,HLA-C,1.2405
A26 (386C),Plasma_A26,Mac_A26,LILRB4,LAIR1,1.499
A26 (386C),Plasma_A26,Mac_A26,APP,CD74,1.5215
A26 (386C),Plasma_A26,Mac_A26,HLA-E,KLRC1,1.0144
A26 (386C),Plasma_A26,Mac_A26,FGF2,FGFR1,0.592
A26 (386C),Plasma_A26,Mac_A26,CSF1,CSF1R,1.2767
A26 (386C),Stromal-Intestine_A26,Plasma_A26,AREG,EGFR,0.8789
A26 (386C),Stromal-Intestine_A26,Plasma_A26,WNT5A,FZD1,0.3263
A26 (386C),Stromal-Intestine_A26,Plasma_A26,APP,CD74,1.2852
A26 (386C),Stromal-Intestine_A26,Plasma_A26,HLA-E,KLRC1,1.046
A26 (386C),Stromal-Intestine_A26,Plasma_A26,MDK,LRP1,1.6844
A26 (386C),Stromal-Intestine_A26,Plasma_A26,HGF,MET,0.2817
A26 (386C),Stromal-Intestine_A26,Plasma_A26,CD99,PILRA,1.4515
A26 (386C),Endo_A26,Stromal-Intestine_A26,TNF,TNFRSF1A,0.8046
A26 (386C),Endo_A26,Stromal-Intestine_A26,CCL3,CCR1,1.3866
A26 (386C),Endo_A26,Stromal-Intestine_A26,PDGFB,PDGFRB,1.1188
A26 (386C),Endo_A26,Stromal-Intestine_A26,TGFB1,TGFBR1,0.5087
A26 (386C),Endo_A26,Stromal-Intestine_A26,HGF,MET,-0.1997
A26 (386C),Endo_A26,Stromal-Intestine_A26,CDH1,ITGB1,0.9784
A26 (386C),Endo_A26,Stromal-Intestine_A26,EGF,EGFR,0.7672
A26 (386C),Mast_A26,Mac_A26,FAM3C,HLA-C,0.9076
A26 (386C),Mast_A26,Mac_A26,HLA-E,KLRC1,1.4392
A26 (386C),Mast_A26,Mac_A26,C3,C3AR1,1.6309
A26 (386C),Mast_A26,Mac_A26,CSF1,CSF1R,1.6565
A26 (386C),Mast_A26,Mac_A26,EGF,EGFR,0.2487
A26 (386C),Mast_A26,Mac_A26,AREG,EGFR,1.3204
A26 (386C),Mast_A26,Mac_A26,APP,CD74,0.8974
A26 (386C),T-CD8_A26,T-gamma/delta_A26,CSF1,CSF1R,1.0418
A26 (386C),T-CD8_A26,T-gamma/delta_A26,WNT5A,FZD1,1.1162
A26 (386C),T-CD8_A26,T-gamma/delta_A26,VEGFA,KDR,-0.0321
A26 (386C),T-CD8_A26,T-gamma/delta_A26,FAM3C,HLA-C,0.8945
A26 (386C),T-CD8_A26,T-gamma/delta_A26,HGF,MET,0.0246
A26 (386C),B-mem_A26,Epi-Intestine_A26,IL6,IL6R,0.4976
A26 (386C),B-mem_A26,Epi-Intestine_A26,CDH1,ITGB1,1.2599
A26 (386C),B-mem_A26,Epi-Intestine_A26,C3,C3AR1,0.8196
A26 (386C),B-mem_A26,Epi-Intestine_A26,IGF1,IGF1R,1.2047
A26 (386C),B-mem_A26,Epi-Intestine_A26,COPA,CD74,0.3302
A26 (386C),B-mem_A26,Epi-Intestine_A26,MDK,LRP1,1.2724
A26 (386C),B-mem_A26,Epi-Intestine_A26,GRN,SORT1,0.7042
A26 (386C),T-CD4_A26,DC_A26,RPS19,C5AR1,1.1795
A26 (386C),T-CD4_A26,DC_A26,TNF,TNFRSF1A,1.2431
A26 (386C),T-CD4_A26,DC_A26,LTB,LTBR,1.0921
A26 (386C),T-CD4_A26,DC_A26,EGF,EGFR,0.6843
A26 (386C),T-CD4_A26,DC_A26,SPP1,CD44,2.2165
A26 (386C),T-gamma/delta_A26,Stromal-Intestine_A26,GRN,SORT1,1.2759
A26 (386C),T-gamma/delta_A26,Stromal-Intestine_A26,CCL5,CCR1,0.9356
A26 (386C),T-gamma/delta_A26,Stromal-Intestine_A26,C3,C3AR1,0.9329
A26 (386C),T-gamma/delta_A26,Stromal-Intestine_A26,RPS19,C5AR1,0.8721
A26 (386C),Mono_A26,Mac_A26,AREG,EGFR,1.5499
A26 (386C),Mono_A26,Mac_A26,BMP4,BMPR1A,1.218
A26 (386C),Mono_A26,Mac_A26,CD99,PILRA,1.047
A26 (386C),Mono_A26,Mac_A26,VEGFA,KDR,0.8503
A26 (386C),Epi-Intestine_A26,DC_A26,IGF1,IGF1R,1.9858
A26 (386C),Epi-Intestine_A26,DC_A26,TGFB1,TGFBR1,0.1272
A26 (386C),Epi-Intestine_A26,DC_A26,APP,CD74,1.7789
A26 (386C),Epi-Intestine_A26,DC_A26,PDGFB,PDGFRB,0.2656
A26 (386C),DC_A26,Plasma_A26,SPP1,CD44,0.872
A26 (386C),DC_A26,Plasma_A26,MDK,LRP1,0.9142
A26 (386C),DC_A26,Plasma_A26,AREG,EGFR,1.1893
A26 (386C),Plasma_A26,Endo_A26,RPS19,C5AR1,0.4519
A26 (386C),Plasma_A26,Endo_A26,EFNA1,EPHA2,0.1405
A26 (386C),Plasma_A26,Endo_A26,CDH1,ITGB1,0.491
A26 (386C),Plasma_A26,Endo_A26,JAG1,NOTCH2,0.1619
A26 (386C),Plasma_A26,Endo_A26,APP,CD74,1.3725
A26 (386C),NK_A26,B-naive_A26,FGF2,FGFR1,0.8728
A26 (386C),NK_A26,B-naive_A26,BMP4,BMPR1A,1.0702
A26 (386C),NK_A26,B-naive_A26,LGALS9,MRC1,0.9987
A26 (386C),NK_A26,B-naive_A26,COPA,CD74,1.6023
A26 (386C),NK_A26,B-naive_A26,EGF,EGFR,0.4634
A26 (386C),NK_A26,B-naive_A26,IL6,IL6R,0.4177
A26 (386C),NK_A26,B-naive_A26,LTB,LTBR,1.5667
A26 (386C),Endo_A26,T-CD8_A26,C3,C3AR1,1.0
A26 (386C),Endo_A26,T-CD8_A26,IGF1,IGF1R,1.0141
A26 (386C),Endo_A26,T-CD8_A26,COPA,CD74,2.3005
A38 (432C),ILC3_A38,NK_A38,CCL5,CCR1,1.5322
A38 (432C),ILC3_A38,NK_A38,MDK,LRP1,0.8533
A38 (432C),ILC3_A38,NK_A38,DLL1,NOTCH1,0.8433
A38 (432C),ILC3_A38,NK_A38,APP,CD74,1.1313
A38 (432C),T-CD8_A38,Mac_A38,HLA-E,KLRC1,1.1432
A38 (432C),T-CD8_A38,Mac_A38,CCL3,CCR1,1.8537
A38 (432C),T-CD8_A38,Mac_A38,C3,C3AR1,1.181
A38 (432C),T-CD8_A38,Mac_A38,AREG,EGFR,1.5044
A38 (432C),T-CD8_A38,Mac_A38,FAM3C,HLA-C,1.8055
A38 (432C),T-CD8_A38,Mac_A38,BMP4,BMPR1A,0.436
A38 (432C),T-CD8_A38,Mac_A38,CSF1,CSF1R,1.0826
A38 (432C),T-gamma/delta_A38,B-naive_A38,C3,C3AR1,1.4841
A38 (432C),T-gamma/delta_A38,B-naive_A38,IL6,IL6R,0.4311
A38 (432C),T-gamma/delta_A38,B-naive_A38,TGFB1,TGFBR1,0.4415
A38 (432C),T-gamma/delta_A38,B-naive_A38,FGF2,FGFR1,0.3768
A38 (432C),T-gamma/delta_A38,B-naive_A38,CCL5,CCR1,1.2368
A38 (432C),DC_A38,B-naive_A38,SPP1,CD44,1.3695
A38 (432C),DC_A38,B-naive_A38,MIF,CD74,1.5866
A38 (432C),DC_A38,B-naive_A38,LTB,LTBR,1.4305
A38 (432C),DC_A38,B-naive_A38,HGF,MET,1.1278
A38 (432C),DC_A38,B-naive_A38,RPS19,C5AR1,0.8434
A38 (432C),DC_A38,B-naive_A38,IGF1,IGF1R,1.0632
A38 (432C),B-mem_A38,Endo_A38,TNF,TNFRSF1A,0.8682
A38 (432C),B-mem_A38,Endo_A38,JAG1,NOTCH2,0.3087
A38 (432C),B-mem_A38,Endo_A38,EFNA1,EPHA2,0.8286
A38 (432C),B-mem_A38,Endo_A38,DLL1,NOTCH1,1.2078
A38 (432C),B-mem_A38,Endo_A38,TGFB1,TGFBR1,0.8509
A38 (432C),B-mem_A38,Endo_A38,SPP1,CD44,1.4379
A38 (432C),B-mem_A38,Endo_A38,C3,C3AR1,1.2946
A38 (432C),Mast_A38,DC_A38,CDH1,ITGB1,0.5981
A38 (432C),Mast_A38,DC_A38,TNF,TNFRSF1A,0.3646
A38 (432C),Mast_A38,DC_A38,TGFB1,TGFBR1,1.1166
A38 (432C),Mast_A38,DC_A38,LGALS9,MRC1,0.988
A38 (432C),Mast_A38,DC_A38,AREG,EGFR,1.7565
A38 (432C),Mast_A38,DC_A38,MDK,LRP1,1.7201
A38 (432C),B-mem_A38,Stromal-Intestine_A38,GRN,SORT1,2.0858
A38 (432C),B-mem_A38,Stromal-Intestine_A38,CDH1,ITGB1,0.7882
A38 (432C),B-mem_A38,Stromal-Intestine_A38,HLA-E,KLRC1,0.7226
A38 (432C),B-mem_A38,Stromal-Intestine_A38,LTB,LTBR,1.1029
A38 (432C),B-mem_A38,Stromal-Intestine_A38,LILRB4,LAIR1,1.0504
A38 (432C),B-mem_A38,Stromal-Intestine_A38,CSF1,CSF1R,1.8186
A38 (432C),B-mem_A38,Stromal-Intestine_A38,TGFB1,TGFBR1,0.5723
A38 (432C),Endo_A38,Plasma_A38,CD99,PILRA,1.3321
A38 (432C),Endo_A38,Plasma_A38,CCL3,CCR1,0.9878
A38 (432C),Endo_A38,Plasma_A38,TNF,TNFRSF1A,0.6477
A38 (432C),Endo_A38,Plasma_A38,CSF1,CSF1R,1.6557
A38 (432C),Endo_A38,Plasma_A38,WNT5A,FZD1,1.2916
A38 (432C),T-CD4_A38,DC_A38,AREG,EGFR,1.6348
A38 (432C),T-CD4_A38,DC_A38,CCL3,CCR1,0.592
A38 (432C),T-CD4_A38,DC_A38,SPP1,CD44,1.2218
A38 (432C),T-CD4_A38,DC_A38,VEGFA,KDR,0.546
A38 (432C),T-CD4_A38,DC_A38,CDH1,ITGB1,0.1245
A38 (432C),T-CD4_A38,DC_A38,EFNA1,EPHA2,1.0056
A38 (432C),T-CD4_A38,DC_A38,WNT5A,FZD1,0.7418
A38 (432C),B-naive_A38,Plasma_A38,COPA,CD74,1.6134
A38 (432C),B-naive_A38,Plasma_A38,HGF,MET,1.1308
A38 (432C),B-naive_A38,Plasma_A38,TGFB1,TGFBR1,0.9836
A38 (432C),Stromal-Intestine_A38,DC_A38,CCL5,CCR1,0.7212
A38 (432C),Stromal-Intestine_A38,DC_A38,TGFB1,TGFBR1,0.8988
A38 (432C),Stromal-Intestine_A38,DC_A38,CCL3,CCR1,1.1981
A38 (432C),Stromal-Intestine_A38,DC_A38,CXCL12,CXCR4,1.449
A38 (432C),Stromal-Intestine_A38,DC_A38,TNFSF13B,HLA-DPB1,1.4203
A38 (432C),Stromal-Intestine_A38,DC_A38,CD99,PILRA,2.2786
A38 (432C),Stromal-Intestine_A38,DC_A38,LGALS9,MRC1,0.5686
A38 (432C),Mono_A38,B-naive_A38,GRN,SORT1,0.9996
A38 (432C),Mono_A38,B-naive_A38,PDGFB,PDGFRB,0.3584
A38 (432C),Mono_A38,B-naive_A38,AREG,EGFR,1.4289
A38 (432C),Mono_A38,B-naive_A38,TNFSF13B,HLA-DPB1,0.8995
A38 (432C),Mono_A38,B-naive_A38,APP,CD74,0.5798
A38 (432C),Mono_A38,B-naive_A38,DLL1,NOTCH1,1.2946
A38 (432C),Mono_A38,B-naive_A38,SPP1,CD44,0.7949
A38 (432C),Endo_A38,ILC3_A38,AREG,EGFR,0.9841
A38 (432C),Endo_A38,ILC3_A38,MIF,CD74,1.7386
A38 (432C),Endo_A38,ILC3_A38,LILRB4,LAIR1,1.4528
A38 (432C),Endo_A38,ILC3_A38,CD99,PILRA,1.4129
A38 (432C),Endo_A38,ILC3_A38,CCL3,CCR1,0.9785
A38 (432C),T-CD4_A38,Mast_A38,EGF,EGFR,0.5803
A38 (432C),T-CD4_A38,Mast_A38,MDK,LRP1,0.845
A38 (432C),T-CD4_A38,Mast_A38,DLL1,NOTCH1,0.8634
A38 (432C),T-CD4_A38,Mast_A38,TNF,TNFRSF1A,0.4575
A38 (432C),B-naive_A38,T-gamma/delta_A38,WNT5A,FZD1,0.7365
A38 (432C),B-naive_A38,T-gamma/delta_A38,VEGFA,KDR,0.0564
A38 (432C),B-naive_A38,T-gamma/delta_A38,HLA-E,KLRC1,1.7569
A38 (432C),B-naive_A38,T-gamma/delta_A38,BMP4,BMPR1A,0.9873
A38 (432C),B-naive_A38,T-gamma/delta_A38,TNF,TNFRSF1A,0.0496
A38 (432C),B-naive_A38,T-gamma/delta_A38,MDK,LRP1,1.319
A38 (432C),B-naive_A38,T-gamma/delta_A38,MIF,CD74,0.9822
A38 (432C),DC_A38,B-mem_A38,GRN,SORT1,1.0027
A38 (432C),DC_A38,B-mem_A38,LILRB4,LAIR1,1.3268
A38 (432C),DC_A38,B-mem_A38,BMP4,BMPR1A,1.1909
A38 (432C),DC_A38,T-CD8_A38,TNF,TNFRSF1A,0.3902
A38 (432C),DC_A38,T-CD8_A38,EGF,EGFR,0.7592
A38 (432C),DC_A38,T-CD8_A38,CCL5,CCR1,1.5506
A38 (432C),DC_A38,T-CD8_A38,FAM3C,HLA-C,1.1389
A38 (432C),DC_A38,T-CD8_A38,LGALS9,MRC1,1.4735
A38 (432C),DC_A38,T-CD8_A38,VEGFA,KDR,0.8906
A38 (432C),DC_A38,T-CD8_A38,CXCL12,CXCR4,1.4404
A38 (432C),Mac_A38,Mono_A38,MIF,CD74,1.2864
A38 (432C),Mac_A38,Mono_A38,SPP1,CD44,1.5232
A38 (432C),Mac_A38,Mono_A38,PDGFB,PDGFRB,1.4362
A38 (432C),Mac_A38,Mono_A38,EGF,EGFR,0.7351
A38 (432C),Mac_A38,Mono_A38,DLL1,NOTCH1,0.8557
A38 (432C),Mac_A38,Mono_A38,COPA,CD74,0.9275
A38 (432C),T-CD4_A38,B-naive_A38,IL6,IL6R,1.3958
A38 (432C),T-CD4_A38,B-naive_A38,SPP1,CD44,1.4085
A38 (432C),T-CD4_A38,B-naive_A38,DLL1,NOTCH1,1.0267
A38 (432C),T-CD4_A38,B-naive_A38,MDK,LRP1,1.5314
A38 (432C),T-CD4_A38,B-naive_A38,CSF1,CSF1R,1.0557
A38 (432C),T-CD4_A38,B-naive_A38,CD99,PILRA,1.1774
A38 (432C),B-naive_A38,DC_A38,LTB,LTBR,1.0773
A38 (432C),B-naive_A38,DC_A38,MDK,LRP1,1.4126
A38 (432C),B-naive_A38,DC_A38,TGFB1,TGFBR1,1.0808
A38 (432C),Plasma_A38,Epi-Intestine_A38,C3,C3AR1,0.7353
A38 (432C),Plasma_A38,Epi-Intestine_A38,TGFB1,TGFBR1,0.8478
A38 (432C),Plasma_A38,Epi-Intestine_A38,APP,CD74,1.2171
A38 (432C),Plasma_A38,Epi-Intestine_A38,BMP4,BMPR1A,0.219
A38 (432C),Plasma_A38,Epi-Intestine_A38,HLA-E,KLRC1,0.7613
A38 (432C),Plasma_A38,Epi-Intestine_A38,CDH1,ITGB1,0.407
A38 (432C),Plasma_A38,Epi-Intestine_A38,LILRB4,LAIR1,0.6167
A38 (432C),T-CD4_A38,Mac_A38,CXCL12,CXCR4,1.2263
A38 (432C),T-CD4_A38,Mac_A38,VEGFA,KDR,0.7644
A38 (432C),T-CD4_A38,Mac_A38,IL6,IL6R,0.394
A38 (432C),T-CD4_A38,Mac_A38,CD99,PILRA,1.6475
A38 (432C),T-CD4_A38,Mac_A38,GRN,SORT1,0.8505
A38 (432C),T-CD4_A38,Mac_A38,HLA-E,KLRC1,0.8343
A38 (432C),T-CD4_A38,Mac_A38,CCL5,CCR1,1.6423
A38 (432C),Mac_A38,ILC3_A38,PDGFB,PDGFRB,1.0095
A38 (432C),Mac_A38,ILC3_A38,IGF1,IGF1R,0.1972
A38 (432C),Mac_A38,ILC3_A38,DLL1,NOTCH1,1.2522
A38 (432C),Mac_A38,ILC3_A38,CSF1,CSF1R,1.7519
A38 (432C),Mac_A38,ILC3_A38,COPA,CD74,1.9
A38 (432C),Mac_A38,ILC3_A38,SPP1,CD44,0.8056
A38 (432C),Endo_A38,NK_A38,CSF1,CSF1R,1.1611
A38 (432C),Endo_A38,NK_A38,CCL5,CCR1,1.2223
A38 (432C),Endo_A38,NK_A38,LILRB4,LAIR1,1.4173
A38 (432C),Endo_A38,NK_A38,JAG1,NOTCH2,0.9713
A38 (432C),Endo_A38,NK_A38,FGF2,FGFR1,0.4209
A38 (432C),Endo_A38,NK_A38,APP,CD74,0.6838
A38 (432C),Mono_A38,Endo_A38,IL6,IL6R,0.3137
