patient_id,source,target,ligand,receptor,prob
A26 (386C),T-gamma/delta_A26,Endo_A26,WNT5A,FZD1,0.20902
A26 (386C),T-gamma/delta_A26,Endo_A26,HGF,MET,0.182854
A26 (386C),T-gamma/delta_A26,Endo_A26,TNFSF13B,HLA-DPB1,0.28604
A26 (386C),T-CD8_A26,Stromal-Intestine_A26,AREG,EGFR,0.238773
A26 (386C),T-CD8_A26,Stromal-Intestine_A26,VEGFA,KDR,0.309247
A26 (386C),T-CD8_A26,Stromal-Intestine_A26,BMP4,BMPR1A,0.368239
A26 (386C),T-CD8_A26,Stromal-Intestine_A26,EFNA1,EPHA2,0.561494
A26 (386C),Epi-Intestine_A26,ILC3_A26,TNFSF13B,HLA-DPB1,0.494715
A26 (386C),Epi-Intestine_A26,ILC3_A26,COPA,CD74,0.361333
A26 (386C),Epi-Intestine_A26,ILC3_A26,HLA-E,KLRC1,0.586449
A26 (386C),Epi-Intestine_A26,ILC3_A26,SPP1,CD44,0.40216
A26 (386C),Epi-Intestine_A26,T-CD4_A26,GRN,SORT1,0.810639
A26 (386C),Epi-Intestine_A26,T-CD4_A26,EFNA1,EPHA2,0.376879
A26 (386C),Epi-Intestine_A26,T-CD4_A26,EGF,EGFR,0.289782
A26 (386C),Epi-Intestine_A26,T-CD4_A26,IGF1,IGF1R,0.217555
A26 (386C),Epi-Intestine_A26,T-CD4_A26,WNT5A,FZD1,0.124007
A26 (386C),Epi-Intestine_A26,T-CD4_A26,CDH1,ITGB1,0.515583
A26 (386C),Epi-Intestine_A26,T-CD4_A26,C3,C3AR1,0.40773
A26 (386C),Mac_A26,T-gamma/delta_A26,CDH1,ITGB1,0.159564
A26 (386C),Mac_A26,T-gamma/delta_A26,DLL1,NOTCH1,0.001
A26 (386C),Mac_A26,T-gamma/delta_A26,IGF1,IGF1R,0.286661
A26 (386C),Mac_A26,T-gamma/delta_A26,FAM3C,HLA-C,0.404419
A26 (386C),Mac_A26,T-gamma/delta_A26,AREG,EGFR,0.604058
A26 (386C),Mac_A26,T-gamma/delta_A26,APP,CD74,0.362893
A26 (386C),Mac_A26,T-gamma/delta_A26,JAG1,NOTCH2,0.001
A26 (386C),B-naive_A26,Mast_A26,DLL1,NOTCH1,0.001
A26 (386C),B-naive_A26,Mast_A26,IGF1,IGF1R,0.194019
A26 (386C),B-naive_A26,Mast_A26,HLA-E,KLRC1,0.851039
A26 (386C),B-naive_A26,Mast_A26,LILRB4,LAIR1,0.48274
A26 (386C),B-naive_A26,Mast_A26,TNFSF13B,HLA-DPB1,0.380033
A26 (386C),B-mem_A26,B-naive_A26,PDGFB,PDGFRB,0.25412
A26 (386C),B-mem_A26,B-naive_A26,TNF,TNFRSF1A,0.146017
A26 (386C),B-mem_A26,B-naive_A26,JAG1,NOTCH2,0.367213
A26 (386C),B-mem_A26,B-naive_A26,TNFSF13B,HLA-DPB1,0.512201
A26 (386C),B-mem_A26,B-naive_A26,MIF,CD74,0.69415
A26 (386C),ILC3_A26,B-naive_A26,LTB,LTBR,0.335301
A26 (386C),ILC3_A26,B-naive_A26,EFNA1,EPHA2,0.20345
A26 (386C),ILC3_A26,B-naive_A26,WNT5A,FZD1,0.182834
A26 (386C),ILC3_A26,B-naive_A26,MIF,CD74,0.290487
A26 (386C),ILC3_A26,B-naive_A26,VEGFA,KDR,0.076849
A26 (386C),ILC3_A26,B-naive_A26,RPS19,C5AR1,0.555737
A26 (386C),Stromal-Intestine_A26,Epi-Intestine_A26,CSF1,CSF1R,0.438691
A26 (386C),Stromal-Intestine_A26,Epi-Intestine_A26,CXCL12,CXCR4,0.51931
A26 (386C),Stromal-Intestine_A26,Epi-Intestine_A26,FAM3C,HLA-C,0.391027
A26 (386C),Stromal-Intestine_A26,Epi-Intestine_A26,EGF,EGFR,0.336359
A26 (386C),Mast_A26,Stromal-Intestine_A26,SPP1,CD44,0.692267
A26 (386C),Mast_A26,Stromal-Intestine_A26,CDH1,ITGB1,0.49261
A26 (386C),Mast_A26,Stromal-Intestine_A26,APP,CD74,0.519008
A26 (386C),Mast_A26,Stromal-Intestine_A26,FGF2,FGFR1,0.250386
A26 (386C),Mast_A26,Stromal-Intestine_A26,CCL5,CCR1,0.632485
A26 (386C),Mast_A26,Stromal-Intestine_A26,MIF,CD74,0.402188
A26 (386C),Mast_A26,Stromal-Intestine_A26,EFNA1,EPHA2,0.40283
A26 (386C),T-gamma/delta_A26,B-naive_A26,FGF2,FGFR1,0.27301
A26 (386C),T-gamma/delta_A26,B-naive_A26,VEGFA,KDR,0.186844
A26 (386C),T-gamma/delta_A26,B-naive_A26,FAM3C,HLA-C,0.42309
A26 (386C),T-gamma/delta_A26,B-naive_A26,MIF,CD74,0.475793
A26 (386C),B-naive_A26,ILC3_A26,CDH1,ITGB1,0.027485
A26 (386C),B-naive_A26,ILC3_A26,CCL5,CCR1,0.68451
A26 (386C),B-naive_A26,ILC3_A26,EGF,EGFR,0.241522
A26 (386C),B-naive_A26,ILC3_A26,WNT5A,FZD1,0.062805
A26 (386C),Plasma_A26,Mac_A26,FAM3C,HLA-C,0.523144
A26 (386C),Plasma_A26,Mac_A26,LILRB4,LAIR1,0.584292
A26 (386C),Plasma_A26,Mac_A26,APP,CD74,0.572806
A26 (386C),Plasma_A26,Mac_A26,HLA-E,KLRC1,0.545617
A26 (386C),Plasma_A26,Mac_A26,FGF2,FGFR1,0.513557
A26 (386C),Plasma_A26,Mac_A26,CSF1,CSF1R,0.448164
A26 (386C),Stromal-Intestine_A26,Plasma_A26,AREG,EGFR,0.455855
A26 (386C),Stromal-Intestine_A26,Plasma_A26,WNT5A,FZD1,0.326453
A26 (386C),Stromal-Intestine_A26,Plasma_A26,APP,CD74,0.41736
A26 (386C),Stromal-Intestine_A26,Plasma_A26,HLA-E,KLRC1,0.346698
A26 (386C),Stromal-Intestine_A26,Plasma_A26,MDK,LRP1,0.279054
A26 (386C),Stromal-Intestine_A26,Plasma_A26,HGF,MET,0.268582
A26 (386C),Stromal-Intestine_A26,Plasma_A26,CD99,PILRA,0.294528
A26 (386C),Endo_A26,Stromal-Intestine_A26,TNF,TNFRSF1A,0.001
A26 (386C),Endo_A26,Stromal-Intestine_A26,CCL3,CCR1,0.43312
A26 (386C),Endo_A26,Stromal-Intestine_A26,PDGFB,PDGFRB,0.370983
A26 (386C),Endo_A26,Stromal-Intestine_A26,TGFB1,TGFBR1,0.117742
A26 (386C),Endo_A26,Stromal-Intestine_A26,HGF,MET,0.397872
A26 (386C),Endo_A26,Stromal-Intestine_A26,CDH1,ITGB1,0.416453
A26 (386C),Endo_A26,Stromal-Intestine_A26,EGF,EGFR,0.136938
A26 (386C),Mast_A26,Mac_A26,FAM3C,HLA-C,0.465037
A26 (386C),Mast_A26,Mac_A26,HLA-E,KLRC1,0.52229
A26 (386C),Mast_A26,Mac_A26,C3,C3AR1,0.497249
A26 (386C),Mast_A26,Mac_A26,CSF1,CSF1R,0.539656
A26 (386C),Mast_A26,Mac_A26,EGF,EGFR,0.346038
A26 (386C),Mast_A26,Mac_A26,AREG,EGFR,0.788326
A26 (386C),Mast_A26,Mac_A26,APP,CD74,0.345971
A26 (386C),T-CD8_A26,T-gamma/delta_A26,CSF1,CSF1R,0.582659
A26 (386C),T-CD8_A26,T-gamma/delta_A26,WNT5A,FZD1,0.208006
A26 (386C),T-CD8_A26,T-gamma/delta_A26,VEGFA,KDR,0.395478
A26 (386C),T-CD8_A26,T-gamma/delta_A26,FAM3C,HLA-C,0.580232
A26 (386C),T-CD8_A26,T-gamma/delta_A26,HGF,MET,0.305053
A26 (386C),B-mem_A26,Epi-Intestine_A26,IL6,IL6R,0.098524
A26 (386C),B-mem_A26,Epi-Intestine_A26,CDH1,ITGB1,0.419882
A26 (386C),B-mem_A26,Epi-Intestine_A26,C3,C3AR1,0.397298
A26 (386C),B-mem_A26,Epi-Intestine_A26,IGF1,IGF1R,0.444292
A26 (386C),B-mem_A26,Epi-Intestine_A26,COPA,CD74,0.259331
A26 (386C),B-mem_A26,Epi-Intestine_A26,MDK,LRP1,0.748159
A26 (386C),B-mem_A26,Epi-Intestine_A26,GRN,SORT1,0.649196
A26 (386C),T-CD4_A26,DC_A26,RPS19,C5AR1,0.516326
A26 (386C),T-CD4_A26,DC_A26,TNF,TNFRSF1A,0.107242
A26 (386C),T-CD4_A26,DC_A26,LTB,LTBR,0.503856
A26 (386C),T-CD4_A26,DC_A26,EGF,EGFR,0.17378
A26 (386C),T-CD4_A26,DC_A26,SPP1,CD44,0.491267
A26 (386C),T-gamma/delta_A26,Stromal-Intestine_A26,GRN,SORT1,0.445015
A26 (386C),T-gamma/delta_A26,Stromal-Intestine_A26,CCL5,CCR1,0.358801
A26 (386C),T-gamma/delta_A26,Stromal-Intestine_A26,C3,C3AR1,0.446192
A26 (386C),T-gamma/delta_A26,Stromal-Intestine_A26,RPS19,C5AR1,0.444697
A26 (386C),Mono_A26,Mac_A26,AREG,EGFR,0.435103
A26 (386C),Mono_A26,Mac_A26,BMP4,BMPR1A,0.202199
A26 (386C),Mono_A26,Mac_A26,CD99,PILRA,0.37658
A26 (386C),Mono_A26,Mac_A26,VEGFA,KDR,0.35664
A26 (386C),Epi-Intestine_A26,DC_A26,IGF1,IGF1R,0.447299
A26 (386C),Epi-Intestine_A26,DC_A26,TGFB1,TGFBR1,0.540104
A26 (386C),Epi-Intestine_A26,DC_A26,APP,CD74,0.631223
A26 (386C),Epi-Intestine_A26,DC_A26,PDGFB,PDGFRB,0.381339
A26 (386C),DC_A26,Plasma_A26,SPP1,CD44,0.599821
A26 (386C),DC_A26,Plasma_A26,MDK,LRP1,0.334099
A26 (386C),DC_A26,Plasma_A26,AREG,EGFR,0.659924
A26 (386C),Plasma_A26,Endo_A26,RPS19,C5AR1,0.389431
A26 (386C),Plasma_A26,Endo_A26,EFNA1,EPHA2,0.31306
A26 (386C),Plasma_A26,Endo_A26,CDH1,ITGB1,0.257614
A26 (386C),Plasma_A26,Endo_A26,JAG1,NOTCH2,0.054406
A26 (386C),Plasma_A26,Endo_A26,APP,CD74,0.399371
A26 (386C),NK_A26,B-naive_A26,FGF2,FGFR1,0.212828
A26 (386C),NK_A26,B-naive_A26,BMP4,BMPR1A,0.140122
A26 (386C),NK_A26,B-naive_A26,LGALS9,MRC1,0.4689
A26 (386C),NK_A26,B-naive_A26,COPA,CD74,0.076567
A26 (386C),NK_A26,B-naive_A26,EGF,EGFR,0.233895
A26 (386C),NK_A26,B-naive_A26,IL6,IL6R,0.232037
A26 (386C),NK_A26,B-naive_A26,LTB,LTBR,0.72935
A26 (386C),Endo_A26,T-CD8_A26,C3,C3AR1,0.59722
A26 (386C),Endo_A26,T-CD8_A26,IGF1,IGF1R,0.373509
A26 (386C),Endo_A26,T-CD8_A26,COPA,CD74,0.432623
A38 (432C),ILC3_A38,NK_A38,CCL5,CCR1,0.394541
A38 (432C),ILC3_A38,NK_A38,MDK,LRP1,0.658444
A38 (432C),ILC3_A38,NK_A38,DLL1,NOTCH1,0.210813
A38 (432C),ILC3_A38,NK_A38,APP,CD74,0.715139
A38 (432C),T-CD8_A38,Mac_A38,HLA-E,KLRC1,0.618337
A38 (432C),T-CD8_A38,Mac_A38,CCL3,CCR1,0.644267
A38 (432C),T-CD8_A38,Mac_A38,C3,C3AR1,0.392967
A38 (432C),T-CD8_A38,Mac_A38,AREG,EGFR,0.341883
A38 (432C),T-CD8_A38,Mac_A38,FAM3C,HLA-C,0.535491
A38 (432C),T-CD8_A38,Mac_A38,BMP4,BMPR1A,0.424401
A38 (432C),T-CD8_A38,Mac_A38,CSF1,CSF1R,0.382977
A38 (432C),T-gamma/delta_A38,B-naive_A38,C3,C3AR1,0.532083
A38 (432C),T-gamma/delta_A38,B-naive_A38,IL6,IL6R,0.310608
A38 (432C),T-gamma/delta_A38,B-naive_A38,TGFB1,TGFBR1,0.504713
A38 (432C),T-gamma/delta_A38,B-naive_A38,FGF2,FGFR1,0.448172
A38 (432C),T-gamma/delta_A38,B-naive_A38,CCL5,CCR1,0.412672
A38 (432C),DC_A38,B-naive_A38,SPP1,CD44,0.507001
A38 (432C),DC_A38,B-naive_A38,MIF,CD74,0.439592
A38 (432C),DC_A38,B-naive_A38,LTB,LTBR,0.372637
A38 (432C),DC_A38,B-naive_A38,HGF,MET,0.14624
A38 (432C),DC_A38,B-naive_A38,RPS19,C5AR1,0.750148
A38 (432C),DC_A38,B-naive_A38,IGF1,IGF1R,0.501688
A38 (432C),B-mem_A38,Endo_A38,TNF,TNFRSF1A,0.252865
A38 (432C),B-mem_A38,Endo_A38,JAG1,NOTCH2,0.524717
A38 (432C),B-mem_A38,Endo_A38,EFNA1,EPHA2,0.474135
A38 (432C),B-mem_A38,Endo_A38,DLL1,NOTCH1,0.233373
A38 (432C),B-mem_A38,Endo_A38,TGFB1,TGFBR1,0.250143
A38 (432C),B-mem_A38,Endo_A38,SPP1,CD44,0.313753
A38 (432C),B-mem_A38,Endo_A38,C3,C3AR1,0.32888
A38 (432C),Mast_A38,DC_A38,CDH1,ITGB1,0.320049
A38 (432C),Mast_A38,DC_A38,TNF,TNFRSF1A,0.255194
A38 (432C),Mast_A38,DC_A38,TGFB1,TGFBR1,0.313744
A38 (432C),Mast_A38,DC_A38,LGALS9,MRC1,0.675384
A38 (432C),Mast_A38,DC_A38,AREG,EGFR,0.427729
A38 (432C),Mast_A38,DC_A38,MDK,LRP1,0.731334
A38 (432C),B-mem_A38,Stromal-Intestine_A38,GRN,SORT1,0.296592
A38 (432C),B-mem_A38,Stromal-Intestine_A38,CDH1,ITGB1,0.102786
A38 (432C),B-mem_A38,Stromal-Intestine_A38,HLA-E,KLRC1,0.508439
A38 (432C),B-mem_A38,Stromal-Intestine_A38,LTB,LTBR,0.54438
A38 (432C),B-mem_A38,Stromal-Intestine_A38,LILRB4,LAIR1,0.79792
A38 (432C),B-mem_A38,Stromal-Intestine_A38,CSF1,CSF1R,0.509826
A38 (432C),B-mem_A38,Stromal-Intestine_A38,TGFB1,TGFBR1,0.073977
A38 (432C),Endo_A38,Plasma_A38,CD99,PILRA,0.377522
A38 (432C),Endo_A38,Plasma_A38,CCL3,CCR1,0.592054
A38 (432C),Endo_A38,Plasma_A38,TNF,TNFRSF1A,0.225457
A38 (432C),Endo_A38,Plasma_A38,CSF1,CSF1R,0.398549
A38 (432C),Endo_A38,Plasma_A38,WNT5A,FZD1,0.26973
A38 (432C),T-CD4_A38,DC_A38,AREG,EGFR,0.68498
A38 (432C),T-CD4_A38,DC_A38,CCL3,CCR1,0.735487
A38 (432C),T-CD4_A38,DC_A38,SPP1,CD44,0.302455
A38 (432C),T-CD4_A38,DC_A38,VEGFA,KDR,0.494622
A38 (432C),T-CD4_A38,DC_A38,CDH1,ITGB1,0.378869
A38 (432C),T-CD4_A38,DC_A38,EFNA1,EPHA2,0.232195
A38 (432C),T-CD4_A38,DC_A38,WNT5A,FZD1,0.219942
A38 (432C),B-naive_A38,Plasma_A38,COPA,CD74,0.462571
A38 (432C),B-naive_A38,Plasma_A38,HGF,MET,0.258177
A38 (432C),B-naive_A38,Plasma_A38,TGFB1,TGFBR1,0.05729
A38 (432C),Stromal-Intestine_A38,DC_A38,CCL5,CCR1,0.809956
A38 (432C),Stromal-Intestine_A38,DC_A38,TGFB1,TGFBR1,0.24959
A38 (432C),Stromal-Intestine_A38,DC_A38,CCL3,CCR1,0.635366
A38 (432C),Stromal-Intestine_A38,DC_A38,CXCL12,CXCR4,0.809636
A38 (432C),Stromal-Intestine_A38,DC_A38,TNFSF13B,HLA-DPB1,0.376817
A38 (432C),Stromal-Intestine_A38,DC_A38,CD99,PILRA,0.52715
A38 (432C),Stromal-Intestine_A38,DC_A38,LGALS9,MRC1,0.345193
A38 (432C),Mono_A38,B-naive_A38,GRN,SORT1,0.760432
A38 (432C),Mono_A38,B-naive_A38,PDGFB,PDGFRB,0.488867
A38 (432C),Mono_A38,B-naive_A38,AREG,EGFR,0.340634
A38 (432C),Mono_A38,B-naive_A38,TNFSF13B,HLA-DPB1,0.634277
A38 (432C),Mono_A38,B-naive_A38,APP,CD74,0.524537
A38 (432C),Mono_A38,B-naive_A38,DLL1,NOTCH1,0.264494
A38 (432C),Mono_A38,B-naive_A38,SPP1,CD44,0.61624
A38 (432C),Endo_A38,ILC3_A38,AREG,EGFR,0.515072
A38 (432C),Endo_A38,ILC3_A38,MIF,CD74,0.528852
A38 (432C),Endo_A38,ILC3_A38,LILRB4,LAIR1,0.322544
A38 (432C),Endo_A38,ILC3_A38,CD99,PILRA,0.476827
A38 (432C),Endo_A38,ILC3_A38,CCL3,CCR1,0.709446
A38 (432C),T-CD4_A38,Mast_A38,EGF,EGFR,0.267183
A38 (432C),T-CD4_A38,Mast_A38,MDK,LRP1,0.545473
A38 (432C),T-CD4_A38,Mast_A38,DLL1,NOTCH1,0.247193
A38 (432C),T-CD4_A38,Mast_A38,TNF,TNFRSF1A,0.293917
A38 (432C),B-naive_A38,T-gamma/delta_A38,WNT5A,FZD1,0.469829
A38 (432C),B-naive_A38,T-gamma/delta_A38,VEGFA,KDR,0.553157
A38 (432C),B-naive_A38,T-gamma/delta_A38,HLA-E,KLRC1,0.59005
A38 (432C),B-naive_A38,T-gamma/delta_A38,BMP4,BMPR1A,0.164418
A38 (432C),B-naive_A38,T-gamma/delta_A38,TNF,TNFRSF1A,0.162787
A38 (432C),B-naive_A38,T-gamma/delta_A38,MDK,LRP1,0.381901
A38 (432C),B-naive_A38,T-gamma/delta_A38,MIF,CD74,0.279576
A38 (432C),DC_A38,B-mem_A38,GRN,SORT1,0.474977
A38 (432C),DC_A38,B-mem_A38,LILRB4,LAIR1,0.645571
A38 (432C),DC_A38,B-mem_A38,BMP4,BMPR1A,0.428614
A38 (432C),DC_A38,T-CD8_A38,TNF,TNFRSF1A,0.43174
A38 (432C),DC_A38,T-CD8_A38,EGF,EGFR,0.07404
A38 (432C),DC_A38,T-CD8_A38,CCL5,CCR1,0.29974
A38 (432C),DC_A38,T-CD8_A38,FAM3C,HLA-C,0.322822
A38 (432C),DC_A38,T-CD8_A38,LGALS9,MRC1,0.355989
A38 (432C),DC_A38,T-CD8_A38,VEGFA,KDR,0.20423
A38 (432C),DC_A38,T-CD8_A38,CXCL12,CXCR4,0.491011
A38 (432C),Mac_A38,Mono_A38,MIF,CD74,0.489765
A38 (432C),Mac_A38,Mono_A38,SPP1,CD44,0.577521
A38 (432C),Mac_A38,Mono_A38,PDGFB,PDGFRB,0.199402
A38 (432C),Mac_A38,Mono_A38,EGF,EGFR,0.156652
A38 (432C),Mac_A38,Mono_A38,DLL1,NOTCH1,0.06244
A38 (432C),Mac_A38,Mono_A38,COPA,CD74,0.414855
A38 (432C),T-CD4_A38,B-naive_A38,IL6,IL6R,0.230166
A38 (432C),T-CD4_A38,B-naive_A38,SPP1,CD44,0.629218
A38 (432C),T-CD4_A38,B-naive_A38,DLL1,NOTCH1,0.363523
A38 (432C),T-CD4_A38,B-naive_A38,MDK,LRP1,0.601718
A38 (432C),T-CD4_A38,B-naive_A38,CSF1,CSF1R,0.327793
A38 (432C),T-CD4_A38,B-naive_A38,CD99,PILRA,0.484235
A38 (432C),B-naive_A38,DC_A38,LTB,LTBR,0.623667
A38 (432C),B-naive_A38,DC_A38,MDK,LRP1,0.38876
A38 (432C),B-naive_A38,DC_A38,TGFB1,TGFBR1,0.066189
A38 (432C),Plasma_A38,Epi-Intestine_A38,C3,C3AR1,0.5758
A38 (432C),Plasma_A38,Epi-Intestine_A38,TGFB1,TGFBR1,0.318892
A38 (432C),Plasma_A38,Epi-Intestine_A38,APP,CD74,0.561374
A38 (432C),Plasma_A38,Epi-Intestine_A38,BMP4,BMPR1A,0.386979
A38 (432C),Plasma_A38,Epi-Intestine_A38,HLA-E,KLRC1,0.370526
A38 (432C),Plasma_A38,Epi-Intestine_A38,CDH1,ITGB1,0.085632
A38 (432C),Plasma_A38,Epi-Intestine_A38,LILRB4,LAIR1,0.546581
A38 (432C),T-CD4_A38,Mac_A38,CXCL12,CXCR4,0.436877
A38 (432C),T-CD4_A38,Mac_A38,VEGFA,KDR,0.385253
A38 (432C),T-CD4_A38,Mac_A38,IL6,IL6R,0.454764
A38 (432C),T-CD4_A38,Mac_A38,CD99,PILRA,0.462068
A38 (432C),T-CD4_A38,Mac_A38,GRN,SORT1,0.334405
A38 (432C),T-CD4_A38,Mac_A38,HLA-E,KLRC1,0.496675
A38 (432C),T-CD4_A38,Mac_A38,CCL5,CCR1,0.421627
A38 (432C),Mac_A38,ILC3_A38,PDGFB,PDGFRB,0.529052
A38 (432C),Mac_A38,ILC3_A38,IGF1,IGF1R,0.041735
A38 (432C),Mac_A38,ILC3_A38,DLL1,NOTCH1,0.323884
A38 (432C),Mac_A38,ILC3_A38,CSF1,CSF1R,0.084994
A38 (432C),Mac_A38,ILC3_A38,COPA,CD74,0.683952
A38 (432C),Mac_A38,ILC3_A38,SPP1,CD44,0.537689
A38 (432C),Endo_A38,NK_A38,CSF1,CSF1R,0.352717
A38 (432C),Endo_A38,NK_A38,CCL5,CCR1,0.187827
A38 (432C),Endo_A38,NK_A38,LILRB4,LAIR1,0.520091
A38 (432C),Endo_A38,NK_A38,JAG1,NOTCH2,0.336694
A38 (432C),Endo_A38,NK_A38,FGF2,FGFR1,0.413026
A38 (432C),Endo_A38,NK_A38,APP,CD74,0.538031
A38 (432C),Mono_A38,Endo_A38,IL6,IL6R,0.184973
