patient_id,source,target,ligand,receptor,weight_sc
A26 (386C),ILC3_A26,B-naive_A26,VEGFA,KDR,0.03677
A26 (386C),ILC3_A26,B-naive_A26,RPS19,C5AR1,0.342451
A26 (386C),Stromal-Intestine_A26,Epi-Intestine_A26,CSF1,CSF1R,0.446939
A26 (386C),Stromal-Intestine_A26,Epi-Intestine_A26,CXCL12,CXCR4,0.4769
A26 (386C),Stromal-Intestine_A26,Epi-Intestine_A26,FAM3C,HLA-C,0.243995
A26 (386C),Stromal-Intestine_A26,Epi-Intestine_A26,EGF,EGFR,0.106749
A26 (386C),Mast_A26,Stromal-Intestine_A26,SPP1,CD44,0.650099
A26 (386C),Mast_A26,Stromal-Intestine_A26,CDH1,ITGB1,0.236905
A26 (386C),Mast_A26,Stromal-Intestine_A26,APP,CD74,0.409869
A26 (386C),Mast_A26,Stromal-Intestine_A26,FGF2,FGFR1,0.21751
A26 (386C),Mast_A26,Stromal-Intestine_A26,CCL5,CCR1,0.320716
A26 (386C),Mast_A26,Stromal-Intestine_A26,MIF,CD74,0.379849
A26 (386C),Mast_A26,Stromal-Intestine_A26,EFNA1,EPHA2,0.358749
A26 (386C),T-gamma/delta_A26,B-naive_A26,FGF2,FGFR1,0.074711
A26 (386C),T-gamma/delta_A26,B-naive_A26,VEGFA,KDR,0.148353
A26 (386C),T-gamma/delta_A26,B-naive_A26,FAM3C,HLA-C,0.28778
A26 (386C),T-gamma/delta_A26,B-naive_A26,MIF,CD74,0.421715
A26 (386C),B-naive_A26,ILC3_A26,CDH1,ITGB1,0.160644
A26 (386C),B-naive_A26,ILC3_A26,CCL5,CCR1,0.473299
A26 (386C),B-naive_A26,ILC3_A26,EGF,EGFR,0.127191
A26 (386C),B-naive_A26,ILC3_A26,WNT5A,FZD1,0.183968
A26 (386C),Plasma_A26,Mac_A26,FAM3C,HLA-C,0.34843
A26 (386C),Plasma_A26,Mac_A26,LILRB4,LAIR1,0.357873
A26 (386C),Plasma_A26,Mac_A26,APP,CD74,0.452407
A26 (386C),Plasma_A26,Mac_A26,HLA-E,KLRC1,0.411991
A26 (386C),Plasma_A26,Mac_A26,FGF2,FGFR1,0.014091
A26 (386C),Plasma_A26,Mac_A26,CSF1,CSF1R,0.100687
A26 (386C),Stromal-Intestine_A26,Plasma_A26,AREG,EGFR,0.359589
A26 (386C),Stromal-Intestine_A26,Plasma_A26,WNT5A,FZD1,0.096925
A26 (386C),Stromal-Intestine_A26,Plasma_A26,APP,CD74,0.262802
A26 (386C),Stromal-Intestine_A26,Plasma_A26,HLA-E,KLRC1,0.162028
A26 (386C),Stromal-Intestine_A26,Plasma_A26,MDK,LRP1,0.2339
A26 (386C),Stromal-Intestine_A26,Plasma_A26,HGF,MET,0.157389
A26 (386C),Stromal-Intestine_A26,Plasma_A26,CD99,PILRA,0.345865
A26 (386C),Endo_A26,Stromal-Intestine_A26,TNF,TNFRSF1A,0.303713
A26 (386C),Endo_A26,Stromal-Intestine_A26,CCL3,CCR1,0.158821
A26 (386C),Endo_A26,Stromal-Intestine_A26,PDGFB,PDGFRB,0.228962
A26 (386C),Endo_A26,Stromal-Intestine_A26,TGFB1,TGFBR1,0.055889
A26 (386C),Endo_A26,Stromal-Intestine_A26,HGF,MET,0.231089
A26 (386C),Endo_A26,Stromal-Intestine_A26,CDH1,ITGB1,0.388685
A26 (386C),Endo_A26,Stromal-Intestine_A26,EGF,EGFR,0.142725
A26 (386C),Mast_A26,Mac_A26,FAM3C,HLA-C,0.317282
A26 (386C),Mast_A26,Mac_A26,HLA-E,KLRC1,0.301409
A26 (386C),Mast_A26,Mac_A26,C3,C3AR1,0.261595
A26 (386C),Mast_A26,Mac_A26,CSF1,CSF1R,0.386289
A26 (386C),Mast_A26,Mac_A26,EGF,EGFR,0.169435
A26 (386C),Mast_A26,Mac_A26,AREG,EGFR,0.412523
A26 (386C),Mast_A26,Mac_A26,APP,CD74,0.358584
A26 (386C),T-CD8_A26,T-gamma/delta_A26,CSF1,CSF1R,0.265999
A26 (386C),T-CD8_A26,T-gamma/delta_A26,WNT5A,FZD1,0.280569
A26 (386C),T-CD8_A26,T-gamma/delta_A26,VEGFA,KDR,0.178574
A26 (386C),T-CD8_A26,T-gamma/delta_A26,FAM3C,HLA-C,0.227749
A26 (386C),T-CD8_A26,T-gamma/delta_A26,HGF,MET,0.215661
A26 (386C),B-mem_A26,Epi-Intestine_A26,IL6,IL6R,0.116167
A26 (386C),B-mem_A26,Epi-Intestine_A26,CDH1,ITGB1,0.170148
A26 (386C),B-mem_A26,Epi-Intestine_A26,C3,C3AR1,0.129129
A26 (386C),B-mem_A26,Epi-Intestine_A26,IGF1,IGF1R,0.271889
A26 (386C),B-mem_A26,Epi-Intestine_A26,COPA,CD74,0.567981
A26 (386C),B-mem_A26,Epi-Intestine_A26,MDK,LRP1,0.535996
A26 (386C),B-mem_A26,Epi-Intestine_A26,GRN,SORT1,0.417695
A26 (386C),T-CD4_A26,DC_A26,RPS19,C5AR1,0.548987
A26 (386C),T-CD4_A26,DC_A26,TNF,TNFRSF1A,0.145223
A26 (386C),T-CD4_A26,DC_A26,LTB,LTBR,0.229327
A26 (386C),T-CD4_A26,DC_A26,EGF,EGFR,0.474803
A26 (386C),T-CD4_A26,DC_A26,SPP1,CD44,0.283401
A26 (386C),T-gamma/delta_A26,Stromal-Intestine_A26,GRN,SORT1,0.240676
A26 (386C),T-gamma/delta_A26,Stromal-Intestine_A26,CCL5,CCR1,0.270664
A26 (386C),T-gamma/delta_A26,Stromal-Intestine_A26,C3,C3AR1,0.547021
A26 (386C),T-gamma/delta_A26,Stromal-Intestine_A26,RPS19,C5AR1,0.235988
A26 (386C),Mono_A26,Mac_A26,AREG,EGFR,0.198589
A26 (386C),Mono_A26,Mac_A26,BMP4,BMPR1A,0.260814
A26 (386C),Mono_A26,Mac_A26,CD99,PILRA,0.563288
A26 (386C),Mono_A26,Mac_A26,VEGFA,KDR,0.073219
A26 (386C),Epi-Intestine_A26,DC_A26,IGF1,IGF1R,0.24456
A26 (386C),Epi-Intestine_A26,DC_A26,TGFB1,TGFBR1,0.08508
A26 (386C),Epi-Intestine_A26,DC_A26,APP,CD74,0.510703
A26 (386C),Epi-Intestine_A26,DC_A26,PDGFB,PDGFRB,0.287036
A26 (386C),DC_A26,Plasma_A26,SPP1,CD44,0.282338
A26 (386C),DC_A26,Plasma_A26,MDK,LRP1,0.283946
A26 (386C),DC_A26,Plasma_A26,AREG,EGFR,0.320206
A26 (386C),Plasma_A26,Endo_A26,RPS19,C5AR1,0.167587
A26 (386C),Plasma_A26,Endo_A26,EFNA1,EPHA2,0.19194
A26 (386C),Plasma_A26,Endo_A26,CDH1,ITGB1,0.001
A26 (386C),Plasma_A26,Endo_A26,JAG1,NOTCH2,0.061686
A26 (386C),Plasma_A26,Endo_A26,APP,CD74,0.467034
A26 (386C),NK_A26,B-naive_A26,FGF2,FGFR1,0.377398
A26 (386C),NK_A26,B-naive_A26,BMP4,BMPR1A,0.001
A26 (386C),NK_A26,B-naive_A26,LGALS9,MRC1,0.417675
A26 (386C),NK_A26,B-naive_A26,COPA,CD74,0.432354
A26 (386C),NK_A26,B-naive_A26,EGF,EGFR,0.195379
A26 (386C),NK_A26,B-naive_A26,IL6,IL6R,0.113744
A26 (386C),NK_A26,B-naive_A26,LTB,LTBR,0.270316
A26 (386C),Endo_A26,T-CD8_A26,C3,C3AR1,0.320344
A26 (386C),Endo_A26,T-CD8_A26,IGF1,IGF1R,0.120431
A26 (386C),Endo_A26,T-CD8_A26,COPA,CD74,0.335301
A38 (432C),ILC3_A38,NK_A38,CCL5,CCR1,0.05457
A38 (432C),ILC3_A38,NK_A38,MDK,LRP1,0.361748
A38 (432C),ILC3_A38,NK_A38,DLL1,NOTCH1,0.190741
A38 (432C),ILC3_A38,NK_A38,APP,CD74,0.23847
A38 (432C),T-CD8_A38,Mac_A38,HLA-E,KLRC1,0.527331
A38 (432C),T-CD8_A38,Mac_A38,CCL3,CCR1,0.36428
A38 (432C),T-CD8_A38,Mac_A38,C3,C3AR1,0.325702
A38 (432C),T-CD8_A38,Mac_A38,AREG,EGFR,0.621628
A38 (432C),T-CD8_A38,Mac_A38,FAM3C,HLA-C,0.428117
A38 (432C),T-CD8_A38,Mac_A38,BMP4,BMPR1A,0.146069
A38 (432C),T-CD8_A38,Mac_A38,CSF1,CSF1R,0.363516
A38 (432C),T-gamma/delta_A38,B-naive_A38,C3,C3AR1,0.460131
A38 (432C),T-gamma/delta_A38,B-naive_A38,IL6,IL6R,0.435799
A38 (432C),T-gamma/delta_A38,B-naive_A38,TGFB1,TGFBR1,0.3854
A38 (432C),T-gamma/delta_A38,B-naive_A38,FGF2,FGFR1,0.312044
A38 (432C),T-gamma/delta_A38,B-naive_A38,CCL5,CCR1,0.357177
A38 (432C),DC_A38,B-naive_A38,SPP1,CD44,0.360026
A38 (432C),DC_A38,B-naive_A38,MIF,CD74,0.290788
A38 (432C),DC_A38,B-naive_A38,LTB,LTBR,0.427374
A38 (432C),DC_A38,B-naive_A38,HGF,MET,0.310492
A38 (432C),DC_A38,B-naive_A38,RPS19,C5AR1,0.438314
A38 (432C),DC_A38,B-naive_A38,IGF1,IGF1R,0.159954
A38 (432C),B-mem_A38,Endo_A38,TNF,TNFRSF1A,0.18175
A38 (432C),B-mem_A38,Endo_A38,JAG1,NOTCH2,0.098718
A38 (432C),B-mem_A38,Endo_A38,EFNA1,EPHA2,0.21548
A38 (432C),B-mem_A38,Endo_A38,DLL1,NOTCH1,0.047382
A38 (432C),B-mem_A38,Endo_A38,TGFB1,TGFBR1,0.09347
A38 (432C),B-mem_A38,Endo_A38,SPP1,CD44,0.160618
A38 (432C),B-mem_A38,Endo_A38,C3,C3AR1,0.526896
A38 (432C),Mast_A38,DC_A38,CDH1,ITGB1,0.129991
A38 (432C),Mast_A38,DC_A38,TNF,TNFRSF1A,0.180756
A38 (432C),Mast_A38,DC_A38,TGFB1,TGFBR1,0.339981
A38 (432C),Mast_A38,DC_A38,LGALS9,MRC1,0.423448
A38 (432C),Mast_A38,DC_A38,AREG,EGFR,0.384453
A38 (432C),Mast_A38,DC_A38,MDK,LRP1,0.497958
A38 (432C),B-mem_A38,Stromal-Intestine_A38,GRN,SORT1,0.591436
A38 (432C),B-mem_A38,Stromal-Intestine_A38,CDH1,ITGB1,0.038015
A38 (432C),B-mem_A38,Stromal-Intestine_A38,HLA-E,KLRC1,0.410474
A38 (432C),B-mem_A38,Stromal-Intestine_A38,LTB,LTBR,0.499943
A38 (432C),B-mem_A38,Stromal-Intestine_A38,LILRB4,LAIR1,0.408206
A38 (432C),B-mem_A38,Stromal-Intestine_A38,CSF1,CSF1R,0.341179
A38 (432C),B-mem_A38,Stromal-Intestine_A38,TGFB1,TGFBR1,0.001
A38 (432C),Endo_A38,Plasma_A38,CD99,PILRA,0.498391
A38 (432C),Endo_A38,Plasma_A38,CCL3,CCR1,0.311241
A38 (432C),Endo_A38,Plasma_A38,TNF,TNFRSF1A,0.345816
A38 (432C),Endo_A38,Plasma_A38,CSF1,CSF1R,0.378562
A38 (432C),Endo_A38,Plasma_A38,WNT5A,FZD1,0.225313
A38 (432C),T-CD4_A38,DC_A38,AREG,EGFR,0.044491
A38 (432C),T-CD4_A38,DC_A38,CCL3,CCR1,0.461971
A38 (432C),T-CD4_A38,DC_A38,SPP1,CD44,0.244803
A38 (432C),T-CD4_A38,DC_A38,VEGFA,KDR,0.276096
A38 (432C),T-CD4_A38,DC_A38,CDH1,ITGB1,0.129147
A38 (432C),T-CD4_A38,DC_A38,EFNA1,EPHA2,0.294007
A38 (432C),T-CD4_A38,DC_A38,WNT5A,FZD1,0.301102
A38 (432C),B-naive_A38,Plasma_A38,COPA,CD74,0.626341
A38 (432C),B-naive_A38,Plasma_A38,HGF,MET,0.323324
A38 (432C),B-naive_A38,Plasma_A38,TGFB1,TGFBR1,0.001
A38 (432C),Stromal-Intestine_A38,DC_A38,CCL5,CCR1,0.492433
A38 (432C),Stromal-Intestine_A38,DC_A38,TGFB1,TGFBR1,0.147078
A38 (432C),Stromal-Intestine_A38,DC_A38,CCL3,CCR1,0.392984
A38 (432C),Stromal-Intestine_A38,DC_A38,CXCL12,CXCR4,0.392625
A38 (432C),Stromal-Intestine_A38,DC_A38,TNFSF13B,HLA-DPB1,0.391194
A38 (432C),Stromal-Intestine_A38,DC_A38,CD99,PILRA,0.632442
A38 (432C),Stromal-Intestine_A38,DC_A38,LGALS9,MRC1,0.421283
A38 (432C),Mono_A38,B-naive_A38,GRN,SORT1,0.300984
A38 (432C),Mono_A38,B-naive_A38,PDGFB,PDGFRB,0.233453
A38 (432C),Mono_A38,B-naive_A38,AREG,EGFR,0.159749
A38 (432C),Mono_A38,B-naive_A38,TNFSF13B,HLA-DPB1,0.099312
A38 (432C),Mono_A38,B-naive_A38,APP,CD74,0.226081
A38 (432C),Mono_A38,B-naive_A38,DLL1,NOTCH1,0.189215
A38 (432C),Mono_A38,B-naive_A38,SPP1,CD44,0.365322
A38 (432C),Endo_A38,ILC3_A38,AREG,EGFR,0.548981
A38 (432C),Endo_A38,ILC3_A38,MIF,CD74,0.362269
A38 (432C),Endo_A38,ILC3_A38,LILRB4,LAIR1,0.178673
A38 (432C),Endo_A38,ILC3_A38,CD99,PILRA,0.375862
A38 (432C),Endo_A38,ILC3_A38,CCL3,CCR1,0.2246
A38 (432C),T-CD4_A38,Mast_A38,EGF,EGFR,0.378136
A38 (432C),T-CD4_A38,Mast_A38,MDK,LRP1,0.364239
A38 (432C),T-CD4_A38,Mast_A38,DLL1,NOTCH1,0.437172
A38 (432C),T-CD4_A38,Mast_A38,TNF,TNFRSF1A,0.257823
A38 (432C),B-naive_A38,T-gamma/delta_A38,WNT5A,FZD1,0.356931
A38 (432C),B-naive_A38,T-gamma/delta_A38,VEGFA,KDR,0.110137
A38 (432C),B-naive_A38,T-gamma/delta_A38,HLA-E,KLRC1,0.442353
A38 (432C),B-naive_A38,T-gamma/delta_A38,BMP4,BMPR1A,0.081381
A38 (432C),B-naive_A38,T-gamma/delta_A38,TNF,TNFRSF1A,0.075124
A38 (432C),B-naive_A38,T-gamma/delta_A38,MDK,LRP1,0.405519
A38 (432C),B-naive_A38,T-gamma/delta_A38,MIF,CD74,0.172928
A38 (432C),DC_A38,B-mem_A38,GRN,SORT1,0.35102
A38 (432C),DC_A38,B-mem_A38,LILRB4,LAIR1,0.471369
A38 (432C),DC_A38,B-mem_A38,BMP4,BMPR1A,0.162891
A38 (432C),DC_A38,T-CD8_A38,TNF,TNFRSF1A,0.267907
A38 (432C),DC_A38,T-CD8_A38,EGF,EGFR,0.304235
A38 (432C),DC_A38,T-CD8_A38,CCL5,CCR1,0.225274
A38 (432C),DC_A38,T-CD8_A38,FAM3C,HLA-C,0.378594
A38 (432C),DC_A38,T-CD8_A38,LGALS9,MRC1,0.366827
A38 (432C),DC_A38,T-CD8_A38,VEGFA,KDR,0.262025
A38 (432C),DC_A38,T-CD8_A38,CXCL12,CXCR4,0.357778
A38 (432C),Mac_A38,Mono_A38,MIF,CD74,0.479394
A38 (432C),Mac_A38,Mono_A38,SPP1,CD44,0.382222
A38 (432C),Mac_A38,Mono_A38,PDGFB,PDGFRB,0.024653
A38 (432C),Mac_A38,Mono_A38,EGF,EGFR,0.219216
A38 (432C),Mac_A38,Mono_A38,DLL1,NOTCH1,0.09152
A38 (432C),Mac_A38,Mono_A38,COPA,CD74,0.242554
A38 (432C),T-CD4_A38,B-naive_A38,IL6,IL6R,0.025938
A38 (432C),T-CD4_A38,B-naive_A38,SPP1,CD44,0.580665
A38 (432C),T-CD4_A38,B-naive_A38,DLL1,NOTCH1,0.421203
A38 (432C),T-CD4_A38,B-naive_A38,MDK,LRP1,0.38883
A38 (432C),T-CD4_A38,B-naive_A38,CSF1,CSF1R,0.261003
A38 (432C),T-CD4_A38,B-naive_A38,CD99,PILRA,0.572973
A38 (432C),B-naive_A38,DC_A38,LTB,LTBR,0.230737
A38 (432C),B-naive_A38,DC_A38,MDK,LRP1,0.433005
A38 (432C),B-naive_A38,DC_A38,TGFB1,TGFBR1,0.231028
A38 (432C),Plasma_A38,Epi-Intestine_A38,C3,C3AR1,0.484977
A38 (432C),Plasma_A38,Epi-Intestine_A38,TGFB1,TGFBR1,0.178501
A38 (432C),Plasma_A38,Epi-Intestine_A38,APP,CD74,0.383743
A38 (432C),Plasma_A38,Epi-Intestine_A38,BMP4,BMPR1A,0.201366
A38 (432C),Plasma_A38,Epi-Intestine_A38,HLA-E,KLRC1,0.44
A38 (432C),Plasma_A38,Epi-Intestine_A38,CDH1,ITGB1,0.307319
A38 (432C),Plasma_A38,Epi-Intestine_A38,LILRB4,LAIR1,0.328705
A38 (432C),T-CD4_A38,Mac_A38,CXCL12,CXCR4,0.491686
A38 (432C),T-CD4_A38,Mac_A38,VEGFA,KDR,0.138721
A38 (432C),T-CD4_A38,Mac_A38,IL6,IL6R,0.161101
A38 (432C),T-CD4_A38,Mac_A38,CD99,PILRA,0.266442
A38 (432C),T-CD4_A38,Mac_A38,GRN,SORT1,0.632259
A38 (432C),T-CD4_A38,Mac_A38,HLA-E,KLRC1,0.481125
A38 (432C),T-CD4_A38,Mac_A38,CCL5,CCR1,0.275084
A38 (432C),Mac_A38,ILC3_A38,PDGFB,PDGFRB,0.184853
A38 (432C),Mac_A38,ILC3_A38,IGF1,IGF1R,0.225138
A38 (432C),Mac_A38,ILC3_A38,DLL1,NOTCH1,0.060464
A38 (432C),Mac_A38,ILC3_A38,CSF1,CSF1R,0.570744
A38 (432C),Mac_A38,ILC3_A38,COPA,CD74,0.261668
A38 (432C),Mac_A38,ILC3_A38,SPP1,CD44,0.449478
A38 (432C),Endo_A38,NK_A38,CSF1,CSF1R,0.330213
A38 (432C),Endo_A38,NK_A38,CCL5,CCR1,0.133453
A38 (432C),Endo_A38,NK_A38,LILRB4,LAIR1,0.480083
A38 (432C),Endo_A38,NK_A38,JAG1,NOTCH2,0.170389
A38 (432C),Endo_A38,NK_A38,FGF2,FGFR1,0.129175
A38 (432C),Endo_A38,NK_A38,APP,CD74,0.38977
A38 (432C),Mono_A38,Endo_A38,IL6,IL6R,0.244207
