patient_id,source,target,ligand,receptor,lr.mean
A26 (386C),Mac_A26,Plasma_A26,IGF1,IGF1R,0.798501
A26 (386C),Mac_A26,Plasma_A26,CCL5,CCR1,0.725295
A26 (386C),Mac_A26,Plasma_A26,FAM3C,HLA-C,0.672642
A26 (386C),Endo_A26,Mono_A26,IL6,IL6R,0.510191
A26 (386C),Endo_A26,Mono_A26,WNT5A,FZD1,0.252496
A26 (386C),Endo_A26,Mono_A26,IGF1,IGF1R,0.472782
A26 (386C),Endo_A26,Mono_A26,JAG1,NOTCH2,0.600462
A26 (386C),Endo_A26,Mono_A26,TNF,TNFRSF1A,0.398097
A26 (386C),Endo_A26,Mono_A26,LTB,LTBR,1.0
A26 (386C),Endo_A26,Mono_A26,LGALS9,MRC1,0.901442
A26 (386C),Mast_A26,T-gamma/delta_A26,JAG1,NOTCH2,0.450685
A26 (386C),Mast_A26,T-gamma/delta_A26,HGF,MET,0.276804
A26 (386C),Mast_A26,T-gamma/delta_A26,IGF1,IGF1R,0.385942
A26 (386C),Mast_A26,T-gamma/delta_A26,CSF1,CSF1R,0.951513
A26 (386C),Mast_A26,T-gamma/delta_A26,VEGFA,KDR,0.225664
A26 (386C),Mast_A26,T-gamma/delta_A26,EFNA1,EPHA2,0.755733
A26 (386C),ILC3_A26,Mast_A26,GRN,SORT1,1.0
A26 (386C),ILC3_A26,Mast_A26,DLL1,NOTCH1,0.382663
A26 (386C),ILC3_A26,Mast_A26,CDH1,ITGB1,0.637706
A26 (386C),ILC3_A26,Mast_A26,TNFSF13B,HLA-DPB1,1.0
A26 (386C),ILC3_A26,Mast_A26,LILRB4,LAIR1,0.857106
A26 (386C),ILC3_A26,Mast_A26,MDK,LRP1,0.760996
A26 (386C),ILC3_A26,Mast_A26,MIF,CD74,1.0
A26 (386C),Mac_A26,ILC3_A26,CSF1,CSF1R,0.638531
A26 (386C),Mac_A26,ILC3_A26,CCL3,CCR1,0.522362
A26 (386C),Mac_A26,ILC3_A26,AREG,EGFR,0.360947
A26 (386C),Mac_A26,ILC3_A26,LTB,LTBR,0.931581
A26 (386C),Mac_A26,ILC3_A26,APP,CD74,1.0
A26 (386C),T-gamma/delta_A26,Endo_A26,CDH1,ITGB1,0.588614
A26 (386C),T-gamma/delta_A26,Endo_A26,BMP4,BMPR1A,0.262206
A26 (386C),T-gamma/delta_A26,Endo_A26,WNT5A,FZD1,0.572857
A26 (386C),T-gamma/delta_A26,Endo_A26,HGF,MET,0.403023
A26 (386C),T-gamma/delta_A26,Endo_A26,TNFSF13B,HLA-DPB1,0.839017
A26 (386C),T-CD8_A26,Stromal-Intestine_A26,AREG,EGFR,1.0
A26 (386C),T-CD8_A26,Stromal-Intestine_A26,VEGFA,KDR,0.816635
A26 (386C),T-CD8_A26,Stromal-Intestine_A26,BMP4,BMPR1A,0.802214
A26 (386C),T-CD8_A26,Stromal-Intestine_A26,EFNA1,EPHA2,0.36226
A26 (386C),Epi-Intestine_A26,ILC3_A26,TNFSF13B,HLA-DPB1,0.657124
A26 (386C),Epi-Intestine_A26,ILC3_A26,COPA,CD74,0.831485
A26 (386C),Epi-Intestine_A26,ILC3_A26,HLA-E,KLRC1,0.552546
A26 (386C),Epi-Intestine_A26,ILC3_A26,SPP1,CD44,0.698157
A26 (386C),Epi-Intestine_A26,T-CD4_A26,GRN,SORT1,0.195709
A26 (386C),Epi-Intestine_A26,T-CD4_A26,EFNA1,EPHA2,0.36482
A26 (386C),Epi-Intestine_A26,T-CD4_A26,EGF,EGFR,0.428315
A26 (386C),Epi-Intestine_A26,T-CD4_A26,IGF1,IGF1R,0.044612
A26 (386C),Epi-Intestine_A26,T-CD4_A26,WNT5A,FZD1,0.159822
A26 (386C),Epi-Intestine_A26,T-CD4_A26,CDH1,ITGB1,0.165291
A26 (386C),Epi-Intestine_A26,T-CD4_A26,C3,C3AR1,0.693085
A26 (386C),Mac_A26,T-gamma/delta_A26,CDH1,ITGB1,0.511348
A26 (386C),Mac_A26,T-gamma/delta_A26,DLL1,NOTCH1,0.140769
A26 (386C),Mac_A26,T-gamma/delta_A26,IGF1,IGF1R,0.1383
A26 (386C),Mac_A26,T-gamma/delta_A26,FAM3C,HLA-C,0.562093
A26 (386C),Mac_A26,T-gamma/delta_A26,AREG,EGFR,0.605655
A26 (386C),Mac_A26,T-gamma/delta_A26,APP,CD74,0.694746
A26 (386C),Mac_A26,T-gamma/delta_A26,JAG1,NOTCH2,0.351828
A26 (386C),B-naive_A26,Mast_A26,DLL1,NOTCH1,0.24561
A26 (386C),B-naive_A26,Mast_A26,IGF1,IGF1R,0.303151
A26 (386C),B-naive_A26,Mast_A26,HLA-E,KLRC1,0.753137
A26 (386C),B-naive_A26,Mast_A26,LILRB4,LAIR1,0.48841
A26 (386C),B-naive_A26,Mast_A26,TNFSF13B,HLA-DPB1,0.702148
A26 (386C),B-mem_A26,B-naive_A26,PDGFB,PDGFRB,0.626073
A26 (386C),B-mem_A26,B-naive_A26,TNF,TNFRSF1A,0.364783
A26 (386C),B-mem_A26,B-naive_A26,JAG1,NOTCH2,0.778233
A26 (386C),B-mem_A26,B-naive_A26,TNFSF13B,HLA-DPB1,0.389455
A26 (386C),B-mem_A26,B-naive_A26,MIF,CD74,0.744848
A26 (386C),ILC3_A26,B-naive_A26,LTB,LTBR,0.975414
A26 (386C),ILC3_A26,B-naive_A26,EFNA1,EPHA2,0.081043
A26 (386C),ILC3_A26,B-naive_A26,WNT5A,FZD1,0.783764
A26 (386C),ILC3_A26,B-naive_A26,MIF,CD74,0.366655
A26 (386C),ILC3_A26,B-naive_A26,VEGFA,KDR,0.041988
A26 (386C),ILC3_A26,B-naive_A26,RPS19,C5AR1,0.580355
A26 (386C),Stromal-Intestine_A26,Epi-Intestine_A26,CSF1,CSF1R,0.653206
A26 (386C),Stromal-Intestine_A26,Epi-Intestine_A26,CXCL12,CXCR4,0.814335
A26 (386C),Stromal-Intestine_A26,Epi-Intestine_A26,FAM3C,HLA-C,0.862416
A26 (386C),Stromal-Intestine_A26,Epi-Intestine_A26,EGF,EGFR,0.28235
A26 (386C),Mast_A26,Stromal-Intestine_A26,SPP1,CD44,0.454613
A26 (386C),Mast_A26,Stromal-Intestine_A26,CDH1,ITGB1,0.172402
A26 (386C),Mast_A26,Stromal-Intestine_A26,APP,CD74,1.0
A26 (386C),Mast_A26,Stromal-Intestine_A26,FGF2,FGFR1,0.369094
A26 (386C),Mast_A26,Stromal-Intestine_A26,CCL5,CCR1,0.660409
A26 (386C),Mast_A26,Stromal-Intestine_A26,MIF,CD74,1.0
A26 (386C),Mast_A26,Stromal-Intestine_A26,EFNA1,EPHA2,0.37745
A26 (386C),T-gamma/delta_A26,B-naive_A26,FGF2,FGFR1,0.547884
A26 (386C),T-gamma/delta_A26,B-naive_A26,VEGFA,KDR,0.235768
A26 (386C),T-gamma/delta_A26,B-naive_A26,FAM3C,HLA-C,1.0
A26 (386C),T-gamma/delta_A26,B-naive_A26,MIF,CD74,0.679603
A26 (386C),B-naive_A26,ILC3_A26,CDH1,ITGB1,0.862499
A26 (386C),B-naive_A26,ILC3_A26,CCL5,CCR1,0.539539
A26 (386C),B-naive_A26,ILC3_A26,EGF,EGFR,0.257187
A26 (386C),B-naive_A26,ILC3_A26,WNT5A,FZD1,0.818653
A26 (386C),Plasma_A26,Mac_A26,FAM3C,HLA-C,0.909599
A26 (386C),Plasma_A26,Mac_A26,LILRB4,LAIR1,1.0
A26 (386C),Plasma_A26,Mac_A26,APP,CD74,0.671417
A26 (386C),Plasma_A26,Mac_A26,HLA-E,KLRC1,0.786977
A26 (386C),Plasma_A26,Mac_A26,FGF2,FGFR1,0.552998
A26 (386C),Plasma_A26,Mac_A26,CSF1,CSF1R,0.770019
A26 (386C),Stromal-Intestine_A26,Plasma_A26,AREG,EGFR,0.833399
A26 (386C),Stromal-Intestine_A26,Plasma_A26,WNT5A,FZD1,0.524248
A26 (386C),Stromal-Intestine_A26,Plasma_A26,APP,CD74,0.659946
A26 (386C),Stromal-Intestine_A26,Plasma_A26,HLA-E,KLRC1,0.356633
A26 (386C),Stromal-Intestine_A26,Plasma_A26,MDK,LRP1,1.0
A26 (386C),Stromal-Intestine_A26,Plasma_A26,HGF,MET,1.0
A26 (386C),Stromal-Intestine_A26,Plasma_A26,CD99,PILRA,0.951449
A26 (386C),Endo_A26,Stromal-Intestine_A26,TNF,TNFRSF1A,0.678923
A26 (386C),Endo_A26,Stromal-Intestine_A26,CCL3,CCR1,0.773251
A26 (386C),Endo_A26,Stromal-Intestine_A26,PDGFB,PDGFRB,0.553493
A26 (386C),Endo_A26,Stromal-Intestine_A26,TGFB1,TGFBR1,0.160481
A26 (386C),Endo_A26,Stromal-Intestine_A26,HGF,MET,0.456138
A26 (386C),Endo_A26,Stromal-Intestine_A26,CDH1,ITGB1,0.706632
A26 (386C),Endo_A26,Stromal-Intestine_A26,EGF,EGFR,0.373766
A26 (386C),Mast_A26,Mac_A26,FAM3C,HLA-C,0.603059
A26 (386C),Mast_A26,Mac_A26,HLA-E,KLRC1,0.657161
A26 (386C),Mast_A26,Mac_A26,C3,C3AR1,0.713877
A26 (386C),Mast_A26,Mac_A26,CSF1,CSF1R,0.911827
A26 (386C),Mast_A26,Mac_A26,EGF,EGFR,0.638363
A26 (386C),Mast_A26,Mac_A26,AREG,EGFR,0.997608
A26 (386C),Mast_A26,Mac_A26,APP,CD74,0.630466
A26 (386C),T-CD8_A26,T-gamma/delta_A26,CSF1,CSF1R,0.625257
A26 (386C),T-CD8_A26,T-gamma/delta_A26,WNT5A,FZD1,0.610358
A26 (386C),T-CD8_A26,T-gamma/delta_A26,VEGFA,KDR,0.290827
A26 (386C),T-CD8_A26,T-gamma/delta_A26,FAM3C,HLA-C,0.911871
A26 (386C),T-CD8_A26,T-gamma/delta_A26,HGF,MET,0.131144
A26 (386C),B-mem_A26,Epi-Intestine_A26,IL6,IL6R,0.092243
A26 (386C),B-mem_A26,Epi-Intestine_A26,CDH1,ITGB1,0.476137
A26 (386C),B-mem_A26,Epi-Intestine_A26,C3,C3AR1,0.642741
A26 (386C),B-mem_A26,Epi-Intestine_A26,IGF1,IGF1R,0.243927
A26 (386C),B-mem_A26,Epi-Intestine_A26,COPA,CD74,0.919584
A26 (386C),B-mem_A26,Epi-Intestine_A26,MDK,LRP1,0.875454
A26 (386C),B-mem_A26,Epi-Intestine_A26,GRN,SORT1,0.657962
A26 (386C),T-CD4_A26,DC_A26,RPS19,C5AR1,1.0
A26 (386C),T-CD4_A26,DC_A26,TNF,TNFRSF1A,0.001
A26 (386C),T-CD4_A26,DC_A26,LTB,LTBR,0.678306
A26 (386C),T-CD4_A26,DC_A26,EGF,EGFR,0.001
A26 (386C),T-CD4_A26,DC_A26,SPP1,CD44,0.777443
A26 (386C),T-gamma/delta_A26,Stromal-Intestine_A26,GRN,SORT1,1.0
A26 (386C),T-gamma/delta_A26,Stromal-Intestine_A26,CCL5,CCR1,0.345087
A26 (386C),T-gamma/delta_A26,Stromal-Intestine_A26,C3,C3AR1,0.452304
A26 (386C),T-gamma/delta_A26,Stromal-Intestine_A26,RPS19,C5AR1,0.131258
A26 (386C),Mono_A26,Mac_A26,AREG,EGFR,0.487429
A26 (386C),Mono_A26,Mac_A26,BMP4,BMPR1A,0.492713
A26 (386C),Mono_A26,Mac_A26,CD99,PILRA,0.809296
A26 (386C),Mono_A26,Mac_A26,VEGFA,KDR,0.494328
A26 (386C),Epi-Intestine_A26,DC_A26,IGF1,IGF1R,0.516949
A26 (386C),Epi-Intestine_A26,DC_A26,TGFB1,TGFBR1,0.218748
A26 (386C),Epi-Intestine_A26,DC_A26,APP,CD74,0.44161
A26 (386C),Epi-Intestine_A26,DC_A26,PDGFB,PDGFRB,0.511786
A26 (386C),DC_A26,Plasma_A26,SPP1,CD44,0.907867
A26 (386C),DC_A26,Plasma_A26,MDK,LRP1,0.780332
A26 (386C),DC_A26,Plasma_A26,AREG,EGFR,0.782292
A26 (386C),Plasma_A26,Endo_A26,RPS19,C5AR1,0.958984
A26 (386C),Plasma_A26,Endo_A26,EFNA1,EPHA2,0.196804
A26 (386C),Plasma_A26,Endo_A26,CDH1,ITGB1,0.485395
A26 (386C),Plasma_A26,Endo_A26,JAG1,NOTCH2,0.50498
A26 (386C),Plasma_A26,Endo_A26,APP,CD74,0.834757
A26 (386C),NK_A26,B-naive_A26,FGF2,FGFR1,0.904927
A26 (386C),NK_A26,B-naive_A26,BMP4,BMPR1A,0.517509
A26 (386C),NK_A26,B-naive_A26,LGALS9,MRC1,0.556447
A26 (386C),NK_A26,B-naive_A26,COPA,CD74,1.0
A26 (386C),NK_A26,B-naive_A26,EGF,EGFR,0.680577
A26 (386C),NK_A26,B-naive_A26,IL6,IL6R,0.001
A26 (386C),NK_A26,B-naive_A26,LTB,LTBR,0.911489
A26 (386C),Endo_A26,T-CD8_A26,C3,C3AR1,0.910705
A26 (386C),Endo_A26,T-CD8_A26,IGF1,IGF1R,0.644552
A26 (386C),Endo_A26,T-CD8_A26,COPA,CD74,0.941159
A38 (432C),ILC3_A38,NK_A38,CCL5,CCR1,1.0
A38 (432C),ILC3_A38,NK_A38,MDK,LRP1,0.881141
A38 (432C),ILC3_A38,NK_A38,DLL1,NOTCH1,0.361337
A38 (432C),ILC3_A38,NK_A38,APP,CD74,1.0
A38 (432C),T-CD8_A38,Mac_A38,HLA-E,KLRC1,0.708755
A38 (432C),T-CD8_A38,Mac_A38,CCL3,CCR1,1.0
A38 (432C),T-CD8_A38,Mac_A38,C3,C3AR1,0.520816
A38 (432C),T-CD8_A38,Mac_A38,AREG,EGFR,1.0
A38 (432C),T-CD8_A38,Mac_A38,FAM3C,HLA-C,0.585679
A38 (432C),T-CD8_A38,Mac_A38,BMP4,BMPR1A,0.218333
A38 (432C),T-CD8_A38,Mac_A38,CSF1,CSF1R,0.93292
A38 (432C),T-gamma/delta_A38,B-naive_A38,C3,C3AR1,0.479933
A38 (432C),T-gamma/delta_A38,B-naive_A38,IL6,IL6R,0.482362
A38 (432C),T-gamma/delta_A38,B-naive_A38,TGFB1,TGFBR1,0.156116
A38 (432C),T-gamma/delta_A38,B-naive_A38,FGF2,FGFR1,0.4129
A38 (432C),T-gamma/delta_A38,B-naive_A38,CCL5,CCR1,0.829261
A38 (432C),DC_A38,B-naive_A38,SPP1,CD44,1.0
A38 (432C),DC_A38,B-naive_A38,MIF,CD74,0.936862
A38 (432C),DC_A38,B-naive_A38,LTB,LTBR,0.539763
A38 (432C),DC_A38,B-naive_A38,HGF,MET,0.335229
A38 (432C),DC_A38,B-naive_A38,RPS19,C5AR1,0.875701
A38 (432C),DC_A38,B-naive_A38,IGF1,IGF1R,0.865376
A38 (432C),B-mem_A38,Endo_A38,TNF,TNFRSF1A,0.427194
A38 (432C),B-mem_A38,Endo_A38,JAG1,NOTCH2,0.118817
A38 (432C),B-mem_A38,Endo_A38,EFNA1,EPHA2,0.362601
A38 (432C),B-mem_A38,Endo_A38,DLL1,NOTCH1,0.001
A38 (432C),B-mem_A38,Endo_A38,TGFB1,TGFBR1,0.265129
A38 (432C),B-mem_A38,Endo_A38,SPP1,CD44,0.77607
A38 (432C),B-mem_A38,Endo_A38,C3,C3AR1,0.742435
A38 (432C),Mast_A38,DC_A38,CDH1,ITGB1,0.595858
A38 (432C),Mast_A38,DC_A38,TNF,TNFRSF1A,0.585306
A38 (432C),Mast_A38,DC_A38,TGFB1,TGFBR1,0.228246
A38 (432C),Mast_A38,DC_A38,LGALS9,MRC1,0.214768
A38 (432C),Mast_A38,DC_A38,AREG,EGFR,1.0
A38 (432C),Mast_A38,DC_A38,MDK,LRP1,0.622359
A38 (432C),B-mem_A38,Stromal-Intestine_A38,GRN,SORT1,0.845217
A38 (432C),B-mem_A38,Stromal-Intestine_A38,CDH1,ITGB1,0.001
A38 (432C),B-mem_A38,Stromal-Intestine_A38,HLA-E,KLRC1,0.865158
A38 (432C),B-mem_A38,Stromal-Intestine_A38,LTB,LTBR,0.724319
A38 (432C),B-mem_A38,Stromal-Intestine_A38,LILRB4,LAIR1,0.88764
A38 (432C),B-mem_A38,Stromal-Intestine_A38,CSF1,CSF1R,0.846975
A38 (432C),B-mem_A38,Stromal-Intestine_A38,TGFB1,TGFBR1,0.521284
A38 (432C),Endo_A38,Plasma_A38,CD99,PILRA,0.460457
A38 (432C),Endo_A38,Plasma_A38,CCL3,CCR1,1.0
A38 (432C),Endo_A38,Plasma_A38,TNF,TNFRSF1A,0.485322
A38 (432C),Endo_A38,Plasma_A38,CSF1,CSF1R,0.961704
A38 (432C),Endo_A38,Plasma_A38,WNT5A,FZD1,0.655384
A38 (432C),T-CD4_A38,DC_A38,AREG,EGFR,0.704518
A38 (432C),T-CD4_A38,DC_A38,CCL3,CCR1,0.560837
A38 (432C),T-CD4_A38,DC_A38,SPP1,CD44,0.530872
A38 (432C),T-CD4_A38,DC_A38,VEGFA,KDR,0.724377
A38 (432C),T-CD4_A38,DC_A38,CDH1,ITGB1,0.206141
A38 (432C),T-CD4_A38,DC_A38,EFNA1,EPHA2,0.448412
A38 (432C),T-CD4_A38,DC_A38,WNT5A,FZD1,0.230178
A38 (432C),B-naive_A38,Plasma_A38,COPA,CD74,0.482979
A38 (432C),B-naive_A38,Plasma_A38,HGF,MET,0.573234
A38 (432C),B-naive_A38,Plasma_A38,TGFB1,TGFBR1,0.793707
A38 (432C),Stromal-Intestine_A38,DC_A38,CCL5,CCR1,1.0
A38 (432C),Stromal-Intestine_A38,DC_A38,TGFB1,TGFBR1,0.162289
A38 (432C),Stromal-Intestine_A38,DC_A38,CCL3,CCR1,1.0
A38 (432C),Stromal-Intestine_A38,DC_A38,CXCL12,CXCR4,0.575549
A38 (432C),Stromal-Intestine_A38,DC_A38,TNFSF13B,HLA-DPB1,0.332535
A38 (432C),Stromal-Intestine_A38,DC_A38,CD99,PILRA,0.347672
A38 (432C),Stromal-Intestine_A38,DC_A38,LGALS9,MRC1,0.628983
A38 (432C),Mono_A38,B-naive_A38,GRN,SORT1,0.40234
A38 (432C),Mono_A38,B-naive_A38,PDGFB,PDGFRB,0.286171
A38 (432C),Mono_A38,B-naive_A38,AREG,EGFR,1.0
A38 (432C),Mono_A38,B-naive_A38,TNFSF13B,HLA-DPB1,0.25896
A38 (432C),Mono_A38,B-naive_A38,APP,CD74,0.948399
A38 (432C),Mono_A38,B-naive_A38,DLL1,NOTCH1,0.259543
A38 (432C),Mono_A38,B-naive_A38,SPP1,CD44,1.0
A38 (432C),Endo_A38,ILC3_A38,AREG,EGFR,0.361188
A38 (432C),Endo_A38,ILC3_A38,MIF,CD74,0.999744
A38 (432C),Endo_A38,ILC3_A38,LILRB4,LAIR1,1.0
A38 (432C),Endo_A38,ILC3_A38,CD99,PILRA,0.932332
A38 (432C),Endo_A38,ILC3_A38,CCL3,CCR1,0.81229
A38 (432C),T-CD4_A38,Mast_A38,EGF,EGFR,0.883685
A38 (432C),T-CD4_A38,Mast_A38,MDK,LRP1,0.633787
A38 (432C),T-CD4_A38,Mast_A38,DLL1,NOTCH1,0.352353
A38 (432C),T-CD4_A38,Mast_A38,TNF,TNFRSF1A,0.163243
A38 (432C),B-naive_A38,T-gamma/delta_A38,WNT5A,FZD1,0.433152
A38 (432C),B-naive_A38,T-gamma/delta_A38,VEGFA,KDR,0.469227
A38 (432C),B-naive_A38,T-gamma/delta_A38,HLA-E,KLRC1,0.86076
A38 (432C),B-naive_A38,T-gamma/delta_A38,BMP4,BMPR1A,0.565782
A38 (432C),B-naive_A38,T-gamma/delta_A38,TNF,TNFRSF1A,0.001
A38 (432C),B-naive_A38,T-gamma/delta_A38,MDK,LRP1,0.998151
A38 (432C),B-naive_A38,T-gamma/delta_A38,MIF,CD74,0.95667
A38 (432C),DC_A38,B-mem_A38,GRN,SORT1,1.0
A38 (432C),DC_A38,B-mem_A38,LILRB4,LAIR1,1.0
A38 (432C),DC_A38,B-mem_A38,BMP4,BMPR1A,0.001
A38 (432C),DC_A38,T-CD8_A38,TNF,TNFRSF1A,0.508717
A38 (432C),DC_A38,T-CD8_A38,EGF,EGFR,0.680431
A38 (432C),DC_A38,T-CD8_A38,CCL5,CCR1,1.0
A38 (432C),DC_A38,T-CD8_A38,FAM3C,HLA-C,0.476731
A38 (432C),DC_A38,T-CD8_A38,LGALS9,MRC1,0.474226
A38 (432C),DC_A38,T-CD8_A38,VEGFA,KDR,0.572812
A38 (432C),DC_A38,T-CD8_A38,CXCL12,CXCR4,0.811501
A38 (432C),Mac_A38,Mono_A38,MIF,CD74,0.463849
A38 (432C),Mac_A38,Mono_A38,SPP1,CD44,0.953098
A38 (432C),Mac_A38,Mono_A38,PDGFB,PDGFRB,0.835627
A38 (432C),Mac_A38,Mono_A38,EGF,EGFR,0.234889
A38 (432C),Mac_A38,Mono_A38,DLL1,NOTCH1,0.760975
A38 (432C),Mac_A38,Mono_A38,COPA,CD74,0.66188
A38 (432C),T-CD4_A38,B-naive_A38,IL6,IL6R,0.850983
A38 (432C),T-CD4_A38,B-naive_A38,SPP1,CD44,1.0
A38 (432C),T-CD4_A38,B-naive_A38,DLL1,NOTCH1,0.001
A38 (432C),T-CD4_A38,B-naive_A38,MDK,LRP1,0.942916
A38 (432C),T-CD4_A38,B-naive_A38,CSF1,CSF1R,0.886167
A38 (432C),T-CD4_A38,B-naive_A38,CD99,PILRA,0.813603
A38 (432C),B-naive_A38,DC_A38,LTB,LTBR,1.0
A38 (432C),B-naive_A38,DC_A38,MDK,LRP1,1.0
A38 (432C),B-naive_A38,DC_A38,TGFB1,TGFBR1,0.284082
A38 (432C),Plasma_A38,Epi-Intestine_A38,C3,C3AR1,0.729288
A38 (432C),Plasma_A38,Epi-Intestine_A38,TGFB1,TGFBR1,0.12363
A38 (432C),Plasma_A38,Epi-Intestine_A38,APP,CD74,0.810966
A38 (432C),Plasma_A38,Epi-Intestine_A38,BMP4,BMPR1A,0.001
A38 (432C),Plasma_A38,Epi-Intestine_A38,HLA-E,KLRC1,0.904246
A38 (432C),Plasma_A38,Epi-Intestine_A38,CDH1,ITGB1,0.669386
A38 (432C),Plasma_A38,Epi-Intestine_A38,LILRB4,LAIR1,0.977011
A38 (432C),T-CD4_A38,Mac_A38,CXCL12,CXCR4,0.525346
A38 (432C),T-CD4_A38,Mac_A38,VEGFA,KDR,0.573158
A38 (432C),T-CD4_A38,Mac_A38,IL6,IL6R,0.256717
A38 (432C),T-CD4_A38,Mac_A38,CD99,PILRA,0.878631
A38 (432C),T-CD4_A38,Mac_A38,GRN,SORT1,0.805968
A38 (432C),T-CD4_A38,Mac_A38,HLA-E,KLRC1,0.936147
A38 (432C),T-CD4_A38,Mac_A38,CCL5,CCR1,0.795905
A38 (432C),Mac_A38,ILC3_A38,PDGFB,PDGFRB,0.501511
A38 (432C),Mac_A38,ILC3_A38,IGF1,IGF1R,0.529116
A38 (432C),Mac_A38,ILC3_A38,DLL1,NOTCH1,0.001
A38 (432C),Mac_A38,ILC3_A38,CSF1,CSF1R,0.562664
A38 (432C),Mac_A38,ILC3_A38,COPA,CD74,0.77882
A38 (432C),Mac_A38,ILC3_A38,SPP1,CD44,0.598522
A38 (432C),Endo_A38,NK_A38,CSF1,CSF1R,0.648646
A38 (432C),Endo_A38,NK_A38,CCL5,CCR1,0.507767
A38 (432C),Endo_A38,NK_A38,LILRB4,LAIR1,0.522526
A38 (432C),Endo_A38,NK_A38,JAG1,NOTCH2,0.524093
A38 (432C),Endo_A38,NK_A38,FGF2,FGFR1,0.695573
A38 (432C),Endo_A38,NK_A38,APP,CD74,0.527918
A38 (432C),Mono_A38,Endo_A38,IL6,IL6R,0.001
A38 (432C),Mono_A38,Endo_A38,MIF,CD74,0.787329
